event_model,nodes,comparison,baseline,paired_runs_confirmation_f1,delta_mean_confirmation_f1,delta_sd_confirmation_f1,delta_ci_lo_confirmation_f1,delta_ci_hi_confirmation_f1,cohen_dz_confirmation_f1,p_confirmation_f1,paired_runs_awareness_recall,delta_mean_awareness_recall,delta_sd_awareness_recall,delta_ci_lo_awareness_recall,delta_ci_hi_awareness_recall,cohen_dz_awareness_recall,p_awareness_recall,paired_runs_dcr,delta_mean_dcr,delta_sd_dcr,delta_ci_lo_dcr,delta_ci_hi_dcr,cohen_dz_dcr,p_dcr,paired_runs_network_false_alarm,delta_mean_network_false_alarm,delta_sd_network_false_alarm,delta_ci_lo_network_false_alarm,delta_ci_hi_network_false_alarm,cohen_dz_network_false_alarm,p_network_false_alarm,paired_runs_tx_packets,delta_mean_tx_packets,delta_sd_tx_packets,delta_ci_lo_tx_packets,delta_ci_hi_tx_packets,cohen_dz_tx_packets,p_tx_packets,paired_runs_energy_mj,delta_mean_energy_mj,delta_sd_energy_mj,delta_ci_lo_energy_mj,delta_ci_hi_energy_mj,cohen_dz_energy_mj,p_energy_mj,paired_runs_collisions,delta_mean_collisions,delta_sd_collisions,delta_ci_lo_collisions,delta_ci_hi_collisions,cohen_dz_collisions,p_collisions,p_holm_confirmation_f1,p_holm_awareness_recall,p_holm_dcr,p_holm_network_false_alarm,p_holm_tx_packets,p_holm_energy_mj,p_holm_collisions
deterministic,20,dstep_payoff - periodic,periodic,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-0.003333333333333336,0.012685406585123132,-0.00833333333333334,0.0,-0.2627691364061218,0.15729920705028502,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-558.1666666666666,1.8769625744130134,-558.8333333333334,-557.5,-297.3776218426855,1.5341809118885818e-06,30,-2332.3016066666664,9.115262396356824,-2335.5785314166665,-2329.0316498333336,-255.86774195319245,1.862645149230957e-09,30,-5894.433333333333,130.5824309176691,-5941.266666666666,-5849.565,-45.13955891240617,1.862645149230957e-09,1.0,1.0,0.9437952423017102,1.0,1.0739266383220073e-05,1.30385160446167e-08,1.30385160446167e-08
deterministic,20,dstep_payoff - event_driven,event_driven,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-0.003333333333333336,0.012685406585123132,-0.00833333333333334,0.0,-0.2627691364061218,0.15729920705028502,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-303.46666666666664,13.755834707706658,-308.4008333333333,-298.9,-22.06094163785281,1.7170105183845441e-06,30,-1207.8196833333334,59.25033383352534,-1229.0936273333334,-1187.91035175,-20.385027478949297,1.862645149230957e-09,30,-3297.6666666666665,178.94081728871706,-3360.735833333333,-3237.5308333333332,-18.428811920233684,1.862645149230957e-09,1.0,1.0,0.9437952423017102,1.0,1.0739266383220073e-05,1.30385160446167e-08,1.30385160446167e-08
deterministic,20,dstep_payoff - send_on_delta,send_on_delta,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-0.003333333333333336,0.012685406585123132,-0.00833333333333334,0.0,-0.2627691364061218,0.15729920705028502,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-112.36666666666666,9.492223072103538,-115.73333333333333,-109.06583333333334,-11.837760850448015,1.7235135468062213e-06,30,-364.34519000000006,40.825192422768865,-378.81809175000006,-350.0416569166667,-8.924518621418644,1.862645149230957e-09,30,-1221.6,123.85157969563184,-1263.7683333333332,-1178.1,-9.863418803394438,1.7333066441991056e-06,1.0,1.0,0.9437952423017102,1.0,1.0739266383220073e-05,1.30385160446167e-08,6.9332265767964225e-06
deterministic,20,dstep_payoff - teen_like,teen_like,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-0.003333333333333336,0.012685406585123132,-0.00833333333333334,0.0,-0.2627691364061218,0.15729920705028502,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-141.83333333333334,10.356018850735142,-145.46666666666667,-138.29916666666668,-13.695739200326488,1.7191759138770554e-06,30,-494.52657666666676,44.412568039329344,-510.1985196666666,-479.4741009166667,-11.134834090853316,1.862645149230957e-09,30,-1535.4333333333334,125.39336267242716,-1581.4333333333334,-1492.2941666666668,-12.244933069898133,1.7333066441991056e-06,1.0,1.0,0.9437952423017102,1.0,1.0739266383220073e-05,1.30385160446167e-08,6.9332265767964225e-06
deterministic,20,dstep_payoff - distributed_edge,distributed_edge,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-0.003333333333333336,0.012685406585123132,-0.00833333333333334,0.0,-0.2627691364061218,0.15729920705028502,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-303.46666666666664,13.755834707706658,-308.4008333333333,-298.9,-22.06094163785281,1.7170105183845441e-06,30,-1300.819683333333,59.25033383352533,-1322.0936273333332,-1280.9103517499998,-21.954638888419165,1.862645149230957e-09,30,-3297.6666666666665,178.94081728871706,-3360.735833333333,-3237.5308333333332,-18.428811920233684,1.862645149230957e-09,1.0,1.0,0.9437952423017102,1.0,1.0739266383220073e-05,1.30385160446167e-08,1.30385160446167e-08
deterministic,20,dstep_payoff - voi_baseline,voi_baseline,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-0.003333333333333336,0.012685406585123132,-0.00833333333333334,0.0,-0.2627691364061218,0.15729920705028502,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-71.16666666666667,11.67397144057678,-75.36666666666666,-67.03333333333333,-6.096183036674494,1.7235135468062213e-06,30,-275.5486466666667,51.25605022149184,-294.0919495,-257.3746311666667,-5.37592431480661,1.862645149230957e-09,30,-750.4333333333333,121.11826176647902,-793.2725,-707.3325000000001,-6.195872714720754,1.7333066441991056e-06,1.0,1.0,0.9437952423017102,1.0,1.0739266383220073e-05,1.30385160446167e-08,6.9332265767964225e-06
deterministic,20,dstep_payoff - dstep,dstep,30,0.10999666666666666,0.0837051783646476,0.08110824999999999,0.13870249999999995,1.3140963177628582,1.1540705985190682e-05,30,0.09333333333333332,0.08683449709106096,0.06333333333333334,0.12500000000000003,1.0748416408222783,4.697115512333756e-05,30,0.24666666666666667,0.19115498917124155,0.18000000000000005,0.315,1.2904014053522628,8.010176344754574e-06,30,0.0,0.0,0.0,0.0,0.0,1.0,30,6.833333333333333,4.488170914851566,5.3,8.433333333333334,1.5225207468640545,2.511735793117334e-06,30,-26.863343333333333,21.94733251642847,-34.35206191666666,-19.00209250000001,-1.2239912669671829,1.4193356037139893e-06,30,58.1,70.15320672494667,34.733333333333334,82.73416666666665,0.8281873732129694,0.00031876274351077204,8.078494189633478e-05,0.0003287980858633629,5.607123441328202e-05,1.0,1.0739266383220073e-05,1.4193356037139893e-06,0.00031876274351077204
deterministic,50,dstep_payoff - periodic,periodic,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0006666666666666673,0.0036514837167011113,0.0,0.0020000000000000018,0.18257418583505536,0.31731050786291415,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-1391.5333333333333,3.360350282781322,-1392.7,-1390.3333333333333,-414.10365474803353,1.6837370465306977e-06,30,-13267.412439999996,40.42154263278706,-13281.32710641667,-13253.187036583331,-328.22627677842314,1.862645149230957e-09,30,-45380.36666666667,721.6595569186028,-45631.736666666664,-45121.0275,-62.88334469016836,1.862645149230957e-09,1.0,1.0,1.0,1.0,1.1786159325714884e-05,1.30385160446167e-08,1.30385160446167e-08
deterministic,50,dstep_payoff - event_driven,event_driven,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0006666666666666673,0.0036514837167011113,0.0,0.0020000000000000018,0.18257418583505536,0.31731050786291415,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-751.7333333333333,15.939396720581742,-757.4666666666667,-746.4333333333333,-47.16196895724779,1.7289484360195754e-06,30,-7002.744356666666,151.83870209547942,-7056.568843666667,-6950.912140666666,-46.11962734154031,1.862645149230957e-09,30,-24778.266666666666,592.7713365803583,-25002.269166666665,-24575.99916666667,-41.800716629805585,1.7333066441991056e-06,1.0,1.0,1.0,1.0,1.1786159325714884e-05,1.30385160446167e-08,5.1999199325973165e-06
deterministic,50,dstep_payoff - send_on_delta,send_on_delta,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0,0.0,0.0,0.0,0.0,1.0,30,0.0006666666666666673,0.0036514837167011113,0.0,0.0020000000000000018,0.18257418583505536,0.31731050786291415,30,0.0,0.0,0.0,0.0,0.0,1.0,30,-271.03333333333336,13.17124174842305,-275.7,-266.6666666666667,-20.57765991318042,1.7213435893906393e-06,30,-2295.1759466666667,127.2319820517048,-2339.9573746666665,-2252.74972675,-18.03930041531498,1.862645149230957e-09,30,-8800.2,485.17507682527736,-8973.218333333334,-8636.563333333334,-18.138194685480833,1.862645149230957e-09,1.0,1.0,1.0,1.0,1.1786159325714884e-05,1.30385160446167e-08,1.30385160446167e-08
