event_model,nodes,policy,runs,confirmation_f1_mean,confirmation_f1_sd,confirmation_f1_ci_lo,confirmation_f1_ci_hi,awareness_recall_mean,awareness_recall_sd,awareness_recall_ci_lo,awareness_recall_ci_hi,dcr_mean,dcr_sd,dcr_ci_lo,dcr_ci_hi,network_false_alarm_mean,network_false_alarm_sd,network_false_alarm_ci_lo,network_false_alarm_ci_hi,false_confirmation_rate_mean,false_confirmation_rate_sd,false_confirmation_rate_ci_lo,false_confirmation_rate_ci_hi,false_awareness_rate_mean,false_awareness_rate_sd,false_awareness_rate_ci_lo,false_awareness_rate_ci_hi,tx_packets_mean,tx_packets_sd,tx_packets_ci_lo,tx_packets_ci_hi,energy_mj_mean,energy_mj_sd,energy_mj_ci_lo,energy_mj_ci_hi,collisions_mean,collisions_sd,collisions_ci_lo,collisions_ci_hi,suppressed_tx_mean,suppressed_tx_sd,suppressed_tx_ci_lo,suppressed_tx_ci_hi,link_pdr_mean,link_pdr_sd,link_pdr_ci_lo,link_pdr_ci_hi,channel_loss_rate_mean,channel_loss_rate_sd,channel_loss_rate_ci_lo,channel_loss_rate_ci_hi,collision_loss_rate_mean,collision_loss_rate_sd,collision_loss_rate_ci_lo,collision_loss_rate_ci_hi,mean_alert_delay_s_mean,mean_alert_delay_s_sd,mean_alert_delay_s_ci_lo,mean_alert_delay_s_ci_hi,mean_lead_time_s_mean,mean_lead_time_s_sd,mean_lead_time_s_ci_lo,mean_lead_time_s_ci_hi,operational_success_rate,false_alarm_free_rate
deterministic,20,periodic,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,600.0,600.0,2695.15616,4.896003523325323,2693.2850600000006,2696.6114600000005,6269.666666666667,133.15309657096518,6224.7325,6317.6,0.0,0.0,0.0,0.0,0.11844,0.015052702816071453,0.11321666666666667,0.12379375,0.33159,0.015841855298870295,0.32598658333333325,0.3370035,0.5499733333333333,0.011685532857380504,0.5460163333333332,0.5542134166666667,-0.32887,0.549088476100352,-0.522434,-0.14066975000000004,0.32887,0.549088476100352,0.13746324999999998,0.5302319166666666,1.0,
deterministic,20,event_driven,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.3,13.886609774688809,340.3,350.3666666666667,1570.6742366666667,61.05687804312824,1549.3491774166664,1593.2806898333333,3672.9,169.23323020877592,3615.128333333333,3732.834166666667,0.0,0.0,0.0,0.0,0.12043666666666666,0.015291974080031911,0.11503958333333333,0.12587008333333335,0.31973666666666667,0.015513831055641563,0.3140865,0.32502999999999993,0.5598433333333334,0.012972827924851863,0.5549797499999999,0.5639569166666666,-0.32887,0.549088476100352,-0.522434,-0.14066975000000004,0.32887,0.549088476100352,0.13746324999999998,0.5302319166666666,1.0,
deterministic,20,send_on_delta,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.2,9.781756417979834,150.66583333333332,157.56666666666666,727.1997433333333,43.08921809065372,711.3973133333332,742.1184996666668,1596.8333333333333,113.6428414036663,1556.4991666666667,1637.7008333333333,0.0,0.0,0.0,0.0,0.13269666666666666,0.016784197891188447,0.12678991666666664,0.13866675,0.3222333333333333,0.02013273767863629,0.31519949999999997,0.3292900833333335,0.54508,0.018864880708287846,0.5383330833333332,0.55135675,-0.32887,0.549088476100352,-0.522434,-0.14066975000000004,0.32887,0.549088476100352,0.13746324999999998,0.5302319166666666,1.0,
deterministic,20,teen_like,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.66666666666666,10.158513783957305,180.03333333333333,187.23333333333332,857.38113,44.726739967458556,840.9596369166666,873.0589464999999,1910.6666666666667,104.63016421839266,1874.4658333333334,1948.3091666666664,0.0,0.0,0.0,0.0,0.12963,0.017802985995187086,0.12338291666666666,0.13597416666666665,0.32259333333333334,0.014991030268322025,0.3172960833333333,0.32778999999999997,0.5477833333333333,0.01615897494472863,0.5419433333333334,0.5534066666666668,-0.32887,0.549088476100352,-0.522434,-0.14066975000000004,0.32887,0.549088476100352,0.13746324999999998,0.5302319166666666,1.0,
deterministic,20,distributed_edge,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345.3,13.886609774688809,340.3,350.3666666666667,1663.6742366666667,61.05687804312824,1642.3491774166664,1686.2806898333333,3672.9,169.23323020877592,3615.128333333333,3732.834166666667,0.0,0.0,0.0,0.0,0.12043666666666666,0.015291974080031911,0.11503958333333333,0.12587008333333335,0.31973666666666667,0.015513831055641563,0.3140865,0.32502999999999993,0.5598433333333334,0.012972827924851863,0.5549797499999999,0.5639569166666666,-0.32487,0.549088476100352,-0.518434,-0.13666975000000006,0.32487,0.549088476100352,0.13346325,0.5262319166666667,1.0,
deterministic,20,voi_baseline,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,11.706172848485567,108.96666666666667,117.1,638.4032,51.61471165193519,620.0088434166667,656.2557190833332,1125.6666666666667,117.37394803856995,1084.5991666666666,1167.2008333333333,0.0,0.0,0.0,0.0,0.14120666666666667,0.02000046436242528,0.13426316666666666,0.14844016666666668,0.33392333333333335,0.02247011322859204,0.3257196666666668,0.341808,0.5248533333333333,0.02729252434381017,0.5157199166666666,0.5347235833333334,-0.32487,0.549088476100352,-0.518434,-0.13666975000000006,0.32487,0.549088476100352,0.13346325,0.5262319166666667,1.0,
deterministic,20,dstep,30,0.8900033333333334,0.08370517836464761,0.8612975,0.91889175,0.9066666666666666,0.08683449709106095,0.875,0.9349999999999999,0.75,0.19387162478442202,0.68,0.8166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,4.034335393713011,33.63333333333333,36.36666666666667,389.71789666666666,19.405201483151696,383.1366781666666,396.64316441666665,317.1333333333333,58.84153666230692,296.9,338.2008333333333,95.76666666666667,20.13177850432312,88.93333333333334,103.23333333333333,0.14384666666666665,0.023895746747981703,0.13568333333333332,0.15244449999999996,0.37849333333333335,0.06408720854312953,0.355079,0.4003871666666667,0.4776666666666667,0.07277484092228831,0.45223499999999994,0.5031770833333333,0.9417533333333333,1.5103154887897299,0.41867341666666674,1.485344583333333,-0.9417533333333333,1.5103154887897299,-1.50817125,-0.4179725833333333,0.13333333333333333,
deterministic,20,dstep_payoff,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9966666666666667,0.012685406585123134,0.9916666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.833333333333336,1.8769625744130134,41.166666666666664,42.5,362.85455333333334,8.719369371562784,359.912033,365.99030008333335,375.23333333333335,55.27591190366387,356.2991666666667,395.3333333333333,119.63333333333334,19.434209676421794,112.9325,126.50083333333332,0.14893333333333333,0.025798601049125788,0.13997316666666665,0.15813358333333333,0.3796,0.049714439725711275,0.36206975,0.3965579166666666,0.47149,0.0621309981493496,0.45100975,0.4942316666666666,-0.6555966666666666,0.5337511938019974,-0.8415304166666666,-0.46730091666666684,0.6555966666666666,0.5337511938019974,0.46026708333333344,0.8349055,1.0,
deterministic,50,periodic,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9993333333333333,0.003651483716701111,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1500.0,0.0,1500.0,1500.0,14805.765693333333,27.799837363192626,14795.924816166671,14815.301373333334,48658.566666666666,622.1175010056149,48434.00666666667,48868.30333333334,0.0,0.0,0.0,0.0,0.09319666666666666,0.005188480830969055,0.09145,0.09502333333333332,0.24478666666666668,0.008278752751860437,0.24194333333333334,0.24774008333333336,0.66202,0.008447337878963953,0.65903325,0.6648535000000001,-0.57492,0.4124474373198652,-0.7173009166666667,-0.4291460000000001,0.57492,0.4124474373198652,0.42248308333333334,0.7159062500000001,1.0,
deterministic,50,event_driven,30,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9993333333333333,0.003651483716701111,0.998,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,860.2,16.518328378313377,854.3666666666667,865.9333333333333,8541.09761,158.35048743482642,8485.913061083333,8595.904074583332,28056.466666666667,582.7491169734479,27854.130833333336,28258.915,0.0,0.0,0.0,0.0,0.09540333333333334,0.00499589371614214,0.09370333333333333,0.09716683333333334,0.23891333333333334,0.009636415606807669,0.2355931666666666,0.24225,0.6656833333333333,0.009683583097655305,0.6622432499999997,0.6691366666666666,-0.57492,0.4124474373198652,-0.7173009166666667,-0.4291460000000001,0.57492,0.4124474373198652,0.42248308333333334,0.7159062500000001,1.0,
