policy,nodes,tx_packets,rx_packets,bytes_tx,link_delivery_attempts,link_delivery_successes,link_delivery_failures,link_pdr,collision_loss_rate,channel_loss_rate,sensitivity_loss_rate,out_of_range_loss_rate,energy_mj,energy_payoff_mj,payoff_decisions,payoff_compute_accepted,payoff_compute_rejected,payoff_transmit_accepted,payoff_transmit_rejected,payoff_optional_compute_skipped,payoff_estimated_tx_energy_saved_mj,payoff_reliability_overrides,energy_per_node_mean_mj,energy_per_node_std_mj,energy_cv,energy_jain_fairness,battery_residual_jain_fairness,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,battery_mode,battery_capacity_mah,battery_voltage_v,battery_initial_energy_mj_per_node,battery_alive_nodes,battery_dead_nodes,battery_mean_remaining_pct,battery_fnd_time_s,battery_hnd_time_s,battery_lnd_time_s,battery_mean_estimated_lifetime_s,battery_min_estimated_lifetime_s,battery_max_estimated_lifetime_s,precision,recall,f1,confirmation_precision,confirmation_recall,confirmation_f1,awareness_recall,false_confirmation_rate,false_awareness_rate,network_false_alarm,event_level_confirmed,event_level_alerted,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,mac_mode,mac_cca_busy,mac_backoff_events,mac_access_drops,mac_queue_enabled,mac_queue_capacity,mac_queue_enqueued,mac_queue_drops,mac_max_queue_depth,mean_mac_queue_delay_s,max_mac_queue_delay_s,mean_mac_service_time_s,max_mac_service_time_s,mac_reliability_enabled,mac_max_retries,mac_retry_tx_frames,mac_retries_scheduled,mac_retry_exhausted,mac_ack_timeouts,mac_ack_tx_frames,mac_ack_rx_frames,mac_ack_losses,mac_ack_collisions,mac_ack_channel_losses,mac_ack_below_sensitivity,mac_duplicate_data_rx,mac_retry_tx_energy_mj,mac_ack_energy_mj,mac_unicast_frames_started,mac_unicast_frames_success,mac_unicast_frames_failed,mac_unicast_queue_drops,mac_unicast_delivery_ratio,mac_unicast_confirmed_delivery_ratio,mac_unicast_data_frames_received,mac_unicast_data_delivery_ratio,mac_reliable_frames_started,mac_reliable_frames_success,mac_reliable_frames_failed,mac_reliable_queue_drops,mac_reliable_delivery_ratio,mac_reliable_data_frames_received,mac_reliable_data_delivery_ratio,mac_pending_requests,physical_link_pdr_per_attempt,physical_tx_frames,interfered_receptions,mean_sinr_db,min_sinr_db,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,communication_architecture,routing_packets,routing_sink_data_arrivals,routing_delivered,routing_no_route,routing_hops_attempted,routing_hops_successful,routing_hops_failed,mean_route_hops_delivered,event_model,run,seed
periodic,20,600,1180,28800,11400,1180,10220,0.1035,0.5439,0.3525,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8976,8,,-0.8976,0.8976,,,,6201,4019,0,0,csma_ca_lite,51,51,0,True,16,600,0,0,0.0,0.0,0.019589,0.082312,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1035,600,6460,-9.551,-61.2555,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-89.5569,0.45,336,305,336,222,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
event_driven,20,335,678,16080,6365,678,5687,0.1065,0.5527,0.3408,0.0,0.0,1526.4032,0.0,0,0,0,0,0,0,0.0,0,76.3202,1.8082,0.0237,0.9994,,31.0,12.4,0.0,0.0,0.0,0.0,334.3032,1145.7,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8976,8,,-0.8976,0.8976,,,,3518,2169,0,0,csma_ca_lite,22,22,0,True,16,335,0,0,0.0,0.0,0.016117,0.083,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1065,335,3705,-7.722,-55.4406,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.8005,0.4875,192,171,192,120,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
send_on_delta,20,152,354,7296,2888,354,2534,0.1226,0.5606,0.3168,0.0,0.0,717.9238,0.0,0,0,0,0,0,0,0.0,0,35.8962,1.7039,0.0475,0.9978,,31.0,12.4,0.0,0.0,0.0,0.0,151.6838,519.84,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8976,8,,-0.8976,0.8976,,,,1619,915,0,0,csma_ca_lite,6,6,0,True,16,152,0,0,0.0,0.0,0.009611,0.046928,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1226,152,1748,-4.9883,-55.1305,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.7766,0.4375,86,76,86,57,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
teen_like,20,170,403,8160,3230,403,2827,0.1248,0.5536,0.3217,0.0,0.0,797.4464,0.0,0,0,0,0,0,0,0.0,0,39.8723,1.3564,0.034,0.9988,,31.0,12.4,0.0,0.0,0.0,0.0,169.6464,581.4,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8976,8,,-0.8976,0.8976,,,,1788,1039,0,0,csma_ca_lite,7,7,0,True,16,170,0,0,0.0,0.0,0.010927,0.054969,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1248,170,1938,-4.6458,-58.2462,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.6691,0.525,99,80,99,60,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
distributed_edge,20,335,678,16080,6365,678,5687,0.1065,0.5527,0.3408,0.0,0.0,1619.4032,0.0,0,0,0,0,0,0,0.0,0,80.9702,1.8082,0.0223,0.9995,,31.0,12.4,93.0,0.0,0.0,0.0,334.3032,1145.7,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8936,7,,-0.8936,0.8936,,,,3518,2169,0,0,csma_ca_lite,22,22,0,True,16,335,0,0,0.0,0.0,0.016117,0.083,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1065,335,3705,-7.722,-55.4406,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.8005,0.4875,192,171,192,120,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
voi_baseline,20,103,247,4944,1957,247,1710,0.1262,0.5324,0.3413,0.0,0.0,594.4458,0.0,0,0,0,0,0,0,0.0,0,29.7223,1.4232,0.0479,0.9977,,31.0,12.4,93.0,0.0,0.0,0.0,102.7858,352.26,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8936,7,,-0.8936,0.8936,,,,1042,668,0,0,csma_ca_lite,0,0,0,True,16,103,0,0,0.0,0.0,0.007965,0.046465,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1262,103,1140,-3.9321,-53.6781,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.5836,0.525,57,45,57,41,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
dstep,20,43,120,2064,817,120,697,0.1469,0.5263,0.3268,0.0,0.0,427.8606,0.0,0,0,0,0,0,0,0.0,0,21.393,0.8951,0.0418,0.9983,,31.0,12.4,93.0,21.0,59.04,18.45,42.9106,147.06,3.0,ideal,,,,20,0,,,,,,,,1.0,0.9,0.9474,1.0,0.9,0.9474,1.0,0.0,0.0,0,1,1,0.85,-0.8936,7,2.0738,1.1678,-1.1678,42.8782,10.5288,2.1318,430,267,0,120,csma_ca_lite,3,3,0,True,16,43,0,1,0.000141,0.001688,0.0063,0.017708,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1469,43,475,-2.9,-49.2231,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.7065,0.5,25,18,25,16,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
dstep_payoff,20,44,110,2112,836,110,726,0.1316,0.512,0.3565,0.0,0.0,371.1135,8.66,866,73,637,121,35,637,34.9272,44,18.5557,0.655,0.0353,0.9988,,31.0,12.4,93.0,21.0,5.84,1.825,43.9085,150.48,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.8934,7,1.3066,-0.7812,0.7812,36.1,8.0815,1.896,428,298,0,112,csma_ca_lite,3,3,0,True,16,44,0,1,0.00115,0.017706,0.006168,0.01878,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1316,44,456,-3.5473,-52.8921,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.8066,0.575,23,21,23,18,0,distributed,0,0,0,0,0,0,0,,deterministic,2,6020002
periodic,20,600,1304,28800,11400,1304,10096,0.1144,0.5404,0.3452,0.0,0.0,2697.152,0.0,0,0,0,0,0,0,0.0,0,134.8576,0.0,0.0,1.0,,31.0,12.4,0.0,0.0,0.0,0.0,598.752,2052.0,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2048,4,,-0.2048,0.2048,,,,6161,3935,0,0,csma_ca_lite,50,50,0,True,16,600,0,0,0.0,0.0,0.019215,0.083626,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1144,600,6460,-9.4775,-57.6738,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.6572,0.475,335,317,335,259,0,distributed,0,0,0,0,0,0,0,,deterministic,3,6020003
event_driven,20,342,781,16416,6498,781,5717,0.1202,0.5654,0.3144,0.0,0.0,1557.3286,0.0,0,0,0,0,0,0,0.0,0,77.8664,2.1779,0.028,0.9992,,31.0,12.4,0.0,0.0,0.0,0.0,341.2886,1169.64,3.0,ideal,,,,20,0,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0,1,1,1.0,-0.2048,4,,-0.2048,0.2048,,,,3674,2043,0,0,csma_ca_lite,29,29,0,True,16,342,0,0,0.0,0.0,0.014748,0.083626,True,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,,,0,,0,0,0,0,,0,,0,0.1202,342,3933,-7.7795,-55.3479,channel_aware_adaptive,20.0,20.0,20.0,20.0,0,0,0,-88.3509,0.3375,199,181,199,135,0,distributed,0,0,0,0,0,0,0,,deterministic,3,6020003
