policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,run,seed
periodic,20,600,598,28800,364.04,31.0,12.4,0.0,0.0,0.0,0.0,210.0,107.64,3.0,1.0,1.0,1.0,1.0,-1.1815,7,,-1.1815,1.1815,,,,3042,80,0,0,21234
periodic,20,600,600,28800,364.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,108.0,3.0,1.0,1.0,1.0,1.0,0.3768,4,,0.3768,-0.3768,,,,3459,81,0,1,21235
periodic,20,600,595,28800,363.5,31.0,12.4,0.0,0.0,0.0,0.0,210.0,107.1,3.0,1.0,1.0,1.0,1.0,0.3842,2,,0.3842,-0.3842,,,,2380,85,0,2,21236
periodic,20,600,599,28800,364.22,31.0,12.4,0.0,0.0,0.0,0.0,210.0,107.82,3.0,1.0,1.0,1.0,1.0,-1.0276,5,,-1.0276,1.0276,,,,2623,78,0,3,21237
periodic,20,600,600,28800,364.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,108.0,3.0,1.0,1.0,1.0,1.0,0.4985,3,,0.4985,-0.4985,,,,2427,93,0,4,21238
event_driven,20,342,424,16416,242.42,31.0,12.4,0.0,0.0,0.0,0.0,119.7,76.32,3.0,1.0,1.0,1.0,1.0,-0.7315,5,,-0.7315,0.7315,,,,1672,55,0,0,21234
event_driven,20,348,422,16704,244.16,31.0,12.4,0.0,0.0,0.0,0.0,121.8,75.96,3.0,1.0,1.0,1.0,1.0,-0.0232,5,,-0.0232,0.0232,,,,1935,57,0,1,21235
event_driven,20,351,428,16848,246.29,31.0,12.4,0.0,0.0,0.0,0.0,122.85,77.04,3.0,1.0,1.0,1.0,1.0,-0.9658,5,,-0.9658,0.9658,,,,1339,68,0,2,21236
event_driven,20,344,417,16512,241.86,31.0,12.4,0.0,0.0,0.0,0.0,120.4,75.06,3.0,1.0,1.0,1.0,1.0,0.1224,1,,0.1224,-0.1224,,,,1415,70,0,3,21237
event_driven,20,361,425,17328,249.25,31.0,12.4,0.0,0.0,0.0,0.0,126.35,76.5,3.0,1.0,1.0,1.0,1.0,0.0985,2,,0.0985,-0.0985,,,,1393,74,0,4,21238
central_edge,20,600,0,28800,256.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,0.0,3.0,1.0,1.0,1.0,0.05,-0.2815,5,,2.9022,-2.9022,,,,294,6,0,0,21234
central_edge,20,600,0,28800,256.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,0.0,3.0,1.0,1.0,1.0,0.1,0.3768,4,,2.7923,-2.7923,,,,265,5,0,1,21235
central_edge,20,600,0,28800,256.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,0.0,3.0,1.0,1.0,1.0,0.1,-0.1658,3,,-3.3649,3.3649,,,,292,8,0,2,21236
central_edge,20,600,0,28800,256.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,0.0,3.0,1.0,1.0,1.0,0.05,-0.3276,2,,5.3256,-5.3256,,,,113,7,0,3,21237
central_edge,20,600,0,28800,256.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,0.0,3.0,1.0,1.0,1.0,0.05,-0.0515,6,,-1.3003,1.3003,,,,293,7,0,4,21238
distributed_edge,20,342,424,16416,335.42,31.0,12.4,93.0,0.0,0.0,0.0,119.7,76.32,3.0,1.0,1.0,1.0,1.0,-0.7275,5,,-0.7275,0.7275,,,,1672,55,0,0,21234
distributed_edge,20,348,422,16704,337.16,31.0,12.4,93.0,0.0,0.0,0.0,121.8,75.96,3.0,1.0,1.0,1.0,1.0,-0.0192,5,,-0.0192,0.0192,,,,1935,57,0,1,21235
distributed_edge,20,351,428,16848,339.29,31.0,12.4,93.0,0.0,0.0,0.0,122.85,77.04,3.0,1.0,1.0,1.0,1.0,-0.9618,5,,-0.9618,0.9618,,,,1339,68,0,2,21236
distributed_edge,20,344,417,16512,334.86,31.0,12.4,93.0,0.0,0.0,0.0,120.4,75.06,3.0,1.0,1.0,1.0,1.0,0.1264,1,,0.1264,-0.1264,,,,1415,70,0,3,21237
distributed_edge,20,361,425,17328,342.25,31.0,12.4,93.0,0.0,0.0,0.0,126.35,76.5,3.0,1.0,1.0,1.0,1.0,0.1025,2,,0.1025,-0.1025,,,,1393,74,0,4,21238
dstep,20,42,107,2016,270.695,31.0,12.4,93.0,21.0,58.16,18.175,14.7,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,0,21234
dstep,20,40,79,1920,262.015,31.0,12.4,93.0,21.0,55.92,17.475,14.0,14.22,3.0,1.0,1.0,1.0,0.9,0.1808,4,1.1808,0.9315,-0.9315,41.8814,5.1203,0.7197,177,13,79,1,21235
dstep,20,40,94,1920,266.185,31.0,12.4,93.0,21.0,57.04,17.825,14.0,16.92,3.0,1.0,0.95,0.9744,1.0,-1.0118,6,1.1305,-0.9091,0.9091,35.3486,4.0669,1.1065,86,17,94,2,21236
dstep,20,34,86,1632,261.7,31.0,12.4,93.0,21.0,56.32,17.6,11.9,15.48,3.0,1.0,0.9,0.9474,0.9,0.0264,2,1.6568,0.812,-0.812,36.7038,10.2072,0.975,93,13,86,3,21237
dstep,20,39,90,1872,264.695,31.0,12.4,93.0,21.0,56.72,17.725,13.65,16.2,3.0,1.0,0.95,0.9744,0.95,0.1525,3,1.3984,-0.0196,0.0196,32.0882,4.3983,1.4009,93,18,90,4,21238
periodic,50,1500,1500,72000,911.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,270.0,7.5,1.0,1.0,1.0,1.0,0.2206,9,,0.2206,-0.2206,,,,19887,213,0,0,51234
periodic,50,1500,1500,72000,911.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,270.0,7.5,1.0,1.0,1.0,0.98,-0.2885,10,,-0.2885,0.2885,,,,20106,174,0,1,51235
