policy,nodes,runs,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,tx_reduction_vs_event,energy_reduction_vs_event,ai_extra_energy_mj,communication_energy_avoided_mj,delta_e_ai_mj
central_edge,20,5,600,0,28800,256.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,0.0,3.0,1.0,1.0,1.0,0.07,-0.0899,4,,1.271,-1.271,,,,251.4,6.6,0,-0.7182,-0.0474,,,
distributed_edge,20,5,349.2,423.2,16761.6,337.796,31.0,12.4,93.0,0.0,0.0,0.0,122.22,76.176,3.0,1.0,1.0,1.0,1.0,-0.2959,3.6,,-0.2959,0.2959,,,,1550.8,64.8,0,0.0,-0.3799,,,
dstep,20,5,39,91.2,1872,265.058,31.0,12.4,93.0,21.0,56.832,17.76,13.65,16.416,3.0,1.0,0.96,0.9792,0.95,-0.2959,3.8,1.2278,0.2077,-0.2077,37.401,5.5287,1.116,118.8,14,91.2,0.8883,-0.0828,188.592,168.33,20.262
event_driven,20,5,349.2,423.2,16761.6,244.796,31.0,12.4,0.0,0.0,0.0,0.0,122.22,76.176,3.0,1.0,1.0,1.0,1.0,-0.2999,3.6,,-0.2999,0.2999,,,,1550.8,64.8,0,0.0,0.0,,,
periodic,20,5,600,598.4,28800,364.112,31.0,12.4,0.0,0.0,0.0,0.0,210.0,107.712,3.0,1.0,1.0,1.0,1.0,-0.1899,4.2,,-0.1899,0.1899,,,,2786.2,83.4,0,-0.7182,-0.4874,,,
central_edge,50,5,1500,0,72000,641.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,0.0,7.5,1.0,1.0,1.0,0.032,-0.4973,12.4,,2.3229,-2.3229,,,,618.6,5.4,0,-0.7556,-0.0276,,,
distributed_edge,50,5,854.4,1159.6,41011.2,856.268,77.5,31.0,232.5,0.0,0.0,0.0,299.04,208.728,7.5,1.0,1.0,1.0,1.0,-0.4893,12.2,,-0.4893,0.4893,,,,11643.2,150,0,0.0,-0.3727,,,
dstep,50,5,100.6,386.2,4828.8,709.006,77.5,31.0,232.5,52.5,154.88,48.4,35.21,69.516,7.5,1.0,0.996,0.998,1.0,-0.4653,10.8,0.6255,-1.0029,1.0029,41.9981,5.3399,1.1629,1061,57.4,386.2,0.8823,-0.1367,488.28,403.042,85.238
event_driven,50,5,854.4,1159.6,41011.2,623.768,77.5,31.0,0.0,0.0,0.0,0.0,299.04,208.728,7.5,1.0,1.0,1.0,1.0,-0.4933,12.2,,-0.4933,0.4933,,,,11643.2,150,0,0.0,0.0,,,
periodic,50,5,1500,1500,72000,911.0,77.5,31.0,0.0,0.0,0.0,0.0,525.0,270.0,7.5,1.0,1.0,1.0,0.992,-0.4493,12.2,,-0.4493,0.4493,,,,20891.2,192.8,0,-0.7556,-0.4605,,,
central_edge,100,5,3000,0,144000,1282.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,0.0,15.0,1.0,1.0,1.0,0.014,-0.6398,26.4,,2.0325,-2.0325,,,,1206,6,0,-0.7566,-0.0098,,,
distributed_edge,100,5,1707.8,2443.2,81974.4,1734.506,155.0,62.0,465.0,0.0,0.0,0.0,597.73,439.776,15.0,1.0,1.0,1.0,0.998,-0.4578,22.4,,-0.4578,0.4578,,,,49142.8,356.4,0,0.0,-0.3663,,,
dstep,100,5,202.2,941.2,9705.6,1466.512,155.0,62.0,465.0,105.0,323.296,101.03,70.77,169.416,15.0,1.0,1.0,1.0,1.0,-0.4578,24.6,0.5082,-1.6394,1.6394,42.0685,5.7623,0.9998,4996.4,127.4,941.2,0.8816,-0.1552,994.326,797.32,197.006
event_driven,100,5,1707.8,2443.2,81974.4,1269.506,155.0,62.0,0.0,0.0,0.0,0.0,597.73,439.776,15.0,1.0,1.0,1.0,0.998,-0.4618,22.6,,-0.4618,0.4618,,,,49142.8,356.4,0,0.0,0.0,,,
periodic,100,5,3000,3000,144000,1822.0,155.0,62.0,0.0,0.0,0.0,0.0,1050.0,540.0,15.0,1.0,1.0,1.0,0.998,-0.2118,20.2,,-0.2118,0.2118,,,,86916,432,0,-0.7566,-0.4352,,,
