policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,ablation_mode,run,seed
dstep,20,261,107,12528,347.345,31.0,12.4,93.0,21.0,58.16,18.175,91.35,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,full,0,21234
dstep,20,269,79,12912,342.165,31.0,12.4,93.0,21.0,55.92,17.475,94.15,14.22,3.0,1.0,1.0,1.0,0.9,0.1808,4,1.1808,0.9315,-0.9315,41.8814,5.1203,0.7197,177,13,79,full,1,21235
dstep,20,197,94,9456,321.135,31.0,12.4,93.0,21.0,57.04,17.825,68.95,16.92,3.0,1.0,0.95,0.9744,1.0,-1.0118,6,1.1305,-0.9091,0.9091,35.3486,4.0669,1.1065,86,17,94,full,2,21236
dstep,20,192,86,9216,317.0,31.0,12.4,93.0,21.0,56.32,17.6,67.2,15.48,3.0,1.0,0.9,0.9474,0.9,0.0264,2,1.6568,0.812,-0.812,36.7038,10.2072,0.975,93,13,86,full,3,21237
dstep,20,201,90,9648,321.395,31.0,12.4,93.0,21.0,56.72,17.725,70.35,16.2,3.0,1.0,0.95,0.9744,0.95,0.1525,3,1.3984,-0.0196,0.0196,32.0882,4.3983,1.4009,93,18,90,full,4,21238
dstep,20,261,107,12528,347.345,31.0,12.4,93.0,21.0,58.16,18.175,91.35,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,no_density,0,21234
dstep,20,269,79,12912,342.165,31.0,12.4,93.0,21.0,55.92,17.475,94.15,14.22,3.0,1.0,1.0,1.0,0.9,0.1808,4,1.1808,0.9315,-0.9315,41.8814,5.1203,0.7197,177,13,79,no_density,1,21235
dstep,20,197,94,9456,321.135,31.0,12.4,93.0,21.0,57.04,17.825,68.95,16.92,3.0,1.0,0.95,0.9744,1.0,-1.0118,6,1.1305,-0.9091,0.9091,35.3486,4.0669,1.1065,86,17,94,no_density,2,21236
dstep,20,192,86,9216,317.0,31.0,12.4,93.0,21.0,56.32,17.6,67.2,15.48,3.0,1.0,0.9,0.9474,0.9,0.0264,2,1.6568,0.812,-0.812,36.7038,10.2072,0.975,93,13,86,no_density,3,21237
dstep,20,201,90,9648,321.395,31.0,12.4,93.0,21.0,56.72,17.725,70.35,16.2,3.0,1.0,0.95,0.9744,0.95,0.1525,3,1.3984,-0.0196,0.0196,32.0882,4.3983,1.4009,93,18,90,no_density,4,21238
dstep,20,871,633,41808,668.44,31.0,12.4,93.0,21.0,68.0,21.25,304.85,113.94,3.0,1.0,1.0,1.0,1.0,-1.1275,6,-0.3275,-9.0629,9.0629,37.6532,8.9869,1.0437,147,91,126,no_suppression,0,21234
dstep,20,685,443,32880,563.785,31.0,12.4,93.0,21.0,63.92,19.975,239.75,79.74,3.0,1.0,1.0,1.0,1.0,-0.0192,4,0.7308,-0.6495,0.6495,41.9785,14.9004,0.7839,193,49,112,no_suppression,1,21235
dstep,20,749,543,35952,609.435,31.0,12.4,93.0,21.0,67.92,21.225,262.15,97.74,3.0,1.0,1.0,1.0,1.0,0.0882,3,0.8882,-2.7628,2.7628,33.1929,11.0538,0.9387,132,74,116,no_suppression,2,21236
dstep,20,660,442,31680,552.755,31.0,12.4,93.0,21.0,62.32,19.475,231.0,79.56,3.0,1.0,1.0,1.0,1.0,-0.4736,4,0.3264,-2.5025,2.5025,33.4579,13.213,0.8334,156,62,81,no_suppression,3,21237
dstep,20,588,373,28224,514.82,31.0,12.4,93.0,21.0,62.08,19.4,205.8,67.14,3.0,1.0,1.0,1.0,1.0,-0.4475,4,0.2525,-5.6758,5.6758,30.147,5.3417,1.0981,170,45,82,no_suppression,4,21238
dstep,20,261,107,12528,347.345,31.0,12.4,93.0,21.0,58.16,18.175,91.35,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,no_backoff,0,21234
dstep,20,269,79,12912,342.165,31.0,12.4,93.0,21.0,55.92,17.475,94.15,14.22,3.0,1.0,1.0,1.0,0.9,0.1808,4,1.1808,0.9315,-0.9315,41.8814,5.1203,0.7197,177,13,79,no_backoff,1,21235
dstep,20,197,94,9456,321.135,31.0,12.4,93.0,21.0,57.04,17.825,68.95,16.92,3.0,1.0,0.95,0.9744,1.0,-1.0118,6,1.1305,-0.9091,0.9091,35.3486,4.0669,1.1065,86,17,94,no_backoff,2,21236
dstep,20,192,86,9216,317.0,31.0,12.4,93.0,21.0,56.32,17.6,67.2,15.48,3.0,1.0,0.9,0.9474,0.9,0.0264,2,1.6568,0.812,-0.812,36.7038,10.2072,0.975,93,13,86,no_backoff,3,21237
dstep,20,201,90,9648,321.395,31.0,12.4,93.0,21.0,56.72,17.725,70.35,16.2,3.0,1.0,0.95,0.9744,0.95,0.1525,3,1.3984,-0.0196,0.0196,32.0882,4.3983,1.4009,93,18,90,no_backoff,4,21238
dstep,20,277,115,13296,355.225,31.0,12.4,93.0,21.0,58.8,18.375,96.95,20.7,3.0,1.0,1.0,1.0,0.95,-0.7775,7,0.7225,-0.5257,0.5257,41.031,8.0285,0.8378,142,20,115,no_voi,0,21234
dstep,20,285,101,13680,354.035,31.0,12.4,93.0,21.0,57.68,18.025,99.75,18.18,3.0,1.0,1.0,1.0,1.0,-0.0192,5,0.8808,0.0324,-0.0324,42.7759,8.935,1.0123,165,19,101,no_voi,1,21235
dstep,20,225,103,10800,333.605,31.0,12.4,93.0,21.0,57.84,18.075,78.75,18.54,3.0,1.0,1.0,1.0,1.0,-0.0618,2,1.1382,0.29,-0.29,36.1277,6.5335,0.9666,108,14,103,no_voi,2,21236
dstep,20,233,81,11184,330.135,31.0,12.4,93.0,21.0,56.08,17.525,81.55,14.58,3.0,1.0,1.0,1.0,0.95,-0.1736,3,1.0264,0.9269,-0.9269,31.8047,11.0514,0.7278,142,10,81,no_voi,3,21237
dstep,20,212,85,10176,323.925,31.0,12.4,93.0,21.0,56.4,17.625,74.2,15.3,3.0,1.0,1.0,1.0,1.0,0.0525,2,1.1525,0.2048,-0.2048,27.3476,2.0285,0.6658,116,11,85,no_voi,4,21238
dstep,20,226,108,10848,314.38,31.0,12.4,93.0,0.0,58.24,18.2,79.1,19.44,3.0,1.0,1.0,1.0,0.95,-0.6275,6,1.0225,-3.1243,3.1243,36.6268,10.5518,1.2617,104,14,108,no_consensus,0,21234
dstep,20,269,92,12912,324.87,31.0,12.4,93.0,0.0,56.96,17.8,94.15,16.56,3.0,1.0,1.0,1.0,0.95,0.1808,4,1.1308,0.0826,-0.0826,42.507,5.2483,0.9687,164,13,92,no_consensus,1,21235
dstep,20,152,69,7296,276.945,31.0,12.4,93.0,0.0,54.8,17.125,53.2,12.42,3.0,1.0,0.8,0.8889,0.8,-1.1118,5,1.8404,0.5721,-0.5721,29.8595,6.2323,1.4036,71,12,69,no_consensus,2,21236
dstep,20,155,76,7440,279.99,31.0,12.4,93.0,0.0,55.36,17.3,54.25,13.68,3.0,1.0,0.8,0.8889,0.9,-0.1236,2,1.3186,0.4939,-0.4939,28.6535,6.673,1.0639,70,9,76,no_consensus,3,21237
dstep,20,199,84,9552,298.09,31.0,12.4,93.0,0.0,56.32,17.6,69.65,15.12,3.0,1.0,1.0,1.0,1.0,0.1025,2,1.2025,0.1052,-0.1052,30.0861,3.4427,0.7928,102,13,84,no_consensus,4,21238
dstep,50,1459,391,70032,1185.835,77.5,31.0,232.5,52.5,155.28,48.525,510.65,70.38,7.5,1.0,1.0,1.0,1.0,-0.6554,10,0.3846,-0.9735,0.9735,42.6946,4.7773,1.3773,1003,65,391,full,0,51234
dstep,50,1421,347,68208,1159.995,77.5,31.0,232.5,52.5,151.76,47.425,497.35,62.46,7.5,1.0,1.0,1.0,1.0,-0.2645,11,0.7555,-0.6022,0.6022,43.5905,5.3191,0.7148,1028,46,347,full,1,51235
dstep,50,1535,375,73680,1207.875,77.5,31.0,232.5,52.5,154.0,48.125,537.25,67.5,7.5,1.0,1.0,1.0,1.0,-0.2662,12,0.6138,-1.9031,1.9031,40.3121,6.7868,1.1333,1094,66,375,full,2,51236
dstep,50,1563,422,75024,1230.965,77.5,31.0,232.5,52.5,157.68,49.275,547.05,75.96,7.5,1.0,0.98,0.9899,1.0,-0.5716,15,0.8023,-0.4098,0.4098,41.1637,4.9266,1.4393,1082,59,422,full,3,51237
dstep,50,1545,396,74160,1217.36,77.5,31.0,232.5,52.5,155.68,48.65,540.75,71.28,7.5,1.0,1.0,1.0,1.0,-0.5686,6,0.5714,-1.1261,1.1261,42.2298,4.8896,1.1499,1098,51,396,full,4,51238
dstep,50,1459,391,70032,1185.835,77.5,31.0,232.5,52.5,155.28,48.525,510.65,70.38,7.5,1.0,1.0,1.0,1.0,-0.6554,10,0.3846,-0.9735,0.9735,42.6946,4.7773,1.3773,1003,65,391,no_density,0,51234
dstep,50,1421,347,68208,1159.995,77.5,31.0,232.5,52.5,151.76,47.425,497.35,62.46,7.5,1.0,1.0,1.0,1.0,-0.2645,11,0.7555,-0.6022,0.6022,43.5905,5.3191,0.7148,1028,46,347,no_density,1,51235
dstep,50,1535,375,73680,1207.875,77.5,31.0,232.5,52.5,154.0,48.125,537.25,67.5,7.5,1.0,1.0,1.0,1.0,-0.2662,12,0.6138,-1.9031,1.9031,40.3121,6.7868,1.1333,1094,66,375,no_density,2,51236
dstep,50,1563,422,75024,1230.965,77.5,31.0,232.5,52.5,157.68,49.275,547.05,75.96,7.5,1.0,0.98,0.9899,1.0,-0.5716,15,0.8023,-0.4098,0.4098,41.1637,4.9266,1.4393,1082,59,422,no_density,3,51237
dstep,50,1545,396,74160,1217.36,77.5,31.0,232.5,52.5,155.68,48.65,540.75,71.28,7.5,1.0,1.0,1.0,1.0,-0.5686,6,0.5714,-1.1261,1.1261,42.2298,4.8896,1.1499,1098,51,396,no_density,4,51238
dstep,50,2964,1648,142272,1963.52,77.5,31.0,232.5,52.5,174.08,54.4,1037.4,296.64,7.5,1.0,1.0,1.0,1.0,-0.5154,15,0.5246,-2.4315,2.4315,38.5549,7.5967,1.0682,1072,244,493,no_suppression,0,51234
dstep,50,2527,1260,121296,1728.025,77.5,31.0,232.5,52.5,164.4,51.375,884.45,226.8,7.5,1.0,1.0,1.0,1.0,-0.0645,7,0.7555,-1.1213,1.1213,42.8235,9.7795,0.771,1126,141,404,no_suppression,1,51235
dstep,50,2485,1158,119280,1706.2,77.5,31.0,232.5,52.5,172.96,54.05,869.75,208.44,7.5,1.0,1.0,1.0,1.0,-0.1062,9,0.7938,-1.701,1.701,39.7583,8.2216,1.0552,1177,150,545,no_suppression,2,51236
