policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,run,seed
dstep,20,37,117,1776,271.585,31.0,12.4,93.0,21.0,58.8,18.375,12.95,21.06,3.0,1.0,0.9,0.9474,1.0,-1.3755,5,1.0828,-0.7228,0.7228,20.7113,4.8151,1.1875,157,24,405,117,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-85.0821,0.1274,0.002,12.547214001481091,24.788422169258194,46.2277504604981,7.5,1,14,0,1,1.0,5.226038846756469,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,log_normal,-85,-10,fixed,0,21234
dstep,20,40,187,1920,292.795,31.0,12.4,93.0,21.0,64.56,20.175,14.0,33.66,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0245,-2.8219,2.8219,25.6739,8.3773,1.9678,318,26,229,187,rule_based_adaptive,1.0,0.0,10.0,-4.2857,22,22,0,-76.3104,0.2947,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,10.226626216497465,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,-85,-10,rule_based_adaptive,0,21234
dstep,20,40,193,1920,294.505,31.0,12.4,93.0,21.0,65.04,20.325,14.0,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,29.8851,11.5191,1.2952,535,20,12,193,fixed,0.0,0.0,0.0,0.0,0,0,0,-75.3002,0.1895,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,-85,0,fixed,0,21234
dstep,20,40,195,1920,295.075,31.0,12.4,93.0,21.0,65.2,20.375,14.0,35.1,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,30.8029,11.5092,1.1936,545,17,3,195,rule_based_adaptive,9.0,0.0,10.0,4.7368,18,18,0,-67.3617,0.1868,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,17.856524844705998,3.859383502058421,41.14912268033292,20.0,0.848125,100,100,log_normal,-85,0,rule_based_adaptive,0,21234
dstep,20,40,193,1920,294.505,31.0,12.4,93.0,21.0,65.04,20.325,14.0,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,29.8851,11.5191,1.2952,535,20,12,193,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-85.3002,0.1895,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,-95,-10,fixed,0,21234
dstep,20,40,195,1920,295.075,31.0,12.4,93.0,21.0,65.2,20.375,14.0,35.1,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,30.8029,11.5092,1.1936,545,17,3,195,rule_based_adaptive,-1.0,-10.0,0.0,-5.2632,18,18,0,-77.3617,0.1868,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,17.856524844705998,3.859383502058421,41.14912268033292,20.0,0.848125,100,100,log_normal,-95,-10,rule_based_adaptive,0,21234
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,563,0,0,197,fixed,0.0,0.0,0.0,0.0,0,0,0,-75.3389,0.1579,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,100,100,log_normal,-95,0,fixed,0,21234
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,31.1199,11.6601,1.1936,561,1,1,197,rule_based_adaptive,3.5,-10.0,10.0,1.4634,21,14,7,-72.4246,0.1553,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,20.75126168681126,0.3069402660189553,44.10613423387033,20.0,0.848125,100,100,log_normal,-95,0,rule_based_adaptive,0,21234
dstep,20,31,108,1488,266.71,31.0,12.4,93.0,21.0,57.92,18.1,10.85,19.44,3.0,1.0,0.8,0.8889,0.85,-1.3755,5,3.067,-0.3054,0.3054,37.7762,5.8943,2.2279,93,34,354,108,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-85.9057,0.1696,0.002,12.547214001481091,24.788422169258194,46.2277504604981,7.5,1,14,0,1,1.0,5.226038846756469,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,rician,-85,-10,fixed,0,21234
dstep,20,39,160,1872,284.75,31.0,12.4,93.0,21.0,62.4,19.5,13.65,28.8,3.0,1.0,1.0,1.0,0.9,-1.3755,5,1.5245,-2.2224,2.2224,31.0482,10.9958,2.0816,284,38,259,160,rule_based_adaptive,1.5,0.0,10.0,-3.9535,23,23,0,-78.0137,0.2684,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,10.33244632231757,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,-85,-10,rule_based_adaptive,0,21234
