nodes,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,runs,f1_mean,dcr_mean,energy_mj_mean,tx_packets_mean,collisions_mean,channel_losses_mean,below_sensitivity_mean,mean_tx_power_dbm_mean,min_tx_power_dbm_mean,max_tx_power_dbm_mean,mean_power_history_dbm_mean,power_changes_mean,power_increases_mean,power_decreases_mean,mean_feedback_rssi_dbm_mean,mean_feedback_success_rate_mean,largest_component_fraction_mean
20,100,100,log_normal,-95,-10,fixed,1,1.0,1.0,294.505,40.0,535.0,20.0,12.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-85.3002,0.1895,1.0
20,100,100,log_normal,-95,-10,rule_based_adaptive,1,1.0,1.0,295.075,40.0,545.0,17.0,3.0,-1.0,-10.0,0.0,-5.2632,18.0,18.0,0.0,-77.3617,0.1868,1.0
20,100,100,log_normal,-95,0,fixed,1,1.0,1.0,295.645,40.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.3389,0.1579,1.0
20,100,100,log_normal,-95,0,rule_based_adaptive,1,1.0,1.0,295.645,40.0,561.0,1.0,1.0,3.5,-10.0,10.0,1.4634,21.0,14.0,7.0,-72.4246,0.1553,1.0
20,100,100,log_normal,-85,-10,fixed,1,0.9474,1.0,271.585,37.0,157.0,24.0,405.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-85.0821,0.1274,1.0
20,100,100,log_normal,-85,-10,rule_based_adaptive,1,1.0,1.0,292.795,40.0,318.0,26.0,229.0,1.0,0.0,10.0,-4.2857,22.0,22.0,0.0,-76.3104,0.2947,1.0
20,100,100,log_normal,-85,0,fixed,1,1.0,1.0,294.505,40.0,535.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-75.3002,0.1895,1.0
20,100,100,log_normal,-85,0,rule_based_adaptive,1,1.0,1.0,295.075,40.0,545.0,17.0,3.0,9.0,0.0,10.0,4.7368,18.0,18.0,0.0,-67.3617,0.1868,1.0
20,100,100,rician,-95,-10,fixed,1,1.0,1.0,293.3,39.0,488.0,30.0,33.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-86.2968,0.1737,1.0
20,100,100,rician,-95,-10,rule_based_adaptive,1,1.0,1.0,294.155,39.0,498.0,23.0,27.0,-0.5,-10.0,0.0,-5.1282,19.0,19.0,0.0,-78.7533,0.2026,1.0
20,100,100,rician,-95,0,fixed,1,1.0,1.0,295.645,40.0,561.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.3418,0.1605,1.0
20,100,100,rician,-95,0,rule_based_adaptive,1,1.0,1.0,295.645,40.0,553.0,1.0,9.0,3.5,-10.0,10.0,1.4634,21.0,14.0,7.0,-73.3829,0.1526,1.0
20,100,100,rician,-85,-10,fixed,1,0.8889,0.85,266.71,31.0,93.0,34.0,354.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-85.9057,0.1696,1.0
20,100,100,rician,-85,-10,rule_based_adaptive,1,1.0,0.9,284.75,39.0,284.0,38.0,259.0,1.5,0.0,10.0,-3.9535,23.0,23.0,0.0,-78.0137,0.2684,1.0
20,100,100,rician,-85,0,fixed,1,1.0,1.0,293.3,39.0,488.0,30.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-76.2968,0.1737,1.0
20,100,100,rician,-85,0,rule_based_adaptive,1,1.0,1.0,294.155,39.0,498.0,23.0,27.0,9.5,0.0,10.0,4.8718,19.0,19.0,0.0,-68.7533,0.2026,1.0
20,500,500,log_normal,-95,-10,fixed,1,0.6667,0.55,251.195,30.0,18.0,23.0,472.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-100.5607,0.0906,0.8
20,500,500,log_normal,-95,-10,rule_based_adaptive,1,0.9744,0.5,280.9,34.0,71.0,42.0,380.0,1.5,0.0,10.0,-3.9535,23.0,23.0,0.0,-95.0272,0.2421,1.0
20,500,500,log_normal,-95,0,fixed,1,1.0,1.0,288.92,33.0,267.0,36.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.66,0.2105,1.0
20,500,500,log_normal,-95,0,rule_based_adaptive,1,1.0,1.0,296.045,33.0,299.0,26.0,95.0,10.5,10.0,20.0,5.3659,21.0,21.0,0.0,-84.6821,0.3184,1.0
20,500,500,log_normal,-85,-10,fixed,1,0.0952,0.0,236.195,33.0,0.0,0.0,623.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-100.8984,0.0111,0.1
20,500,500,log_normal,-85,-10,rule_based_adaptive,1,0.0952,0.0,244.835,30.0,0.0,10.0,522.0,0.5,-10.0,10.0,-4.1463,21.0,21.0,0.0,-95.8979,0.076,0.85
20,500,500,log_normal,-85,0,fixed,1,0.6667,0.55,251.195,30.0,18.0,23.0,472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-90.5607,0.0906,0.8
20,500,500,log_normal,-85,0,rule_based_adaptive,1,0.9744,0.5,280.9,34.0,71.0,42.0,380.0,11.5,10.0,20.0,6.0465,23.0,23.0,0.0,-85.0272,0.2421,1.0
20,500,500,rician,-95,-10,fixed,1,0.7097,0.6,249.94,31.0,15.0,17.0,506.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-101.1506,0.076,0.8
20,500,500,rician,-95,-10,rule_based_adaptive,1,0.6207,0.05,273.695,27.0,38.0,38.0,297.0,-0.5,-10.0,10.0,-4.359,19.0,19.0,0.0,-96.3851,0.2533,1.0
20,500,500,rician,-95,0,fixed,1,1.0,1.0,286.29,32.0,219.0,41.0,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-91.8189,0.2132,1.0
20,500,500,rician,-95,0,rule_based_adaptive,1,1.0,1.0,293.635,31.0,257.0,32.0,99.0,10.5,10.0,20.0,5.3659,21.0,21.0,0.0,-86.3828,0.2921,1.0
20,500,500,rician,-85,-10,fixed,1,0.0,0.0,235.455,32.0,0.0,0.0,605.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,-101.5768,0.0058,0.1
20,500,500,rician,-85,-10,rule_based_adaptive,1,0.0952,0.0,243.54,32.0,0.0,12.0,565.0,1.5,0.0,10.0,-3.9535,23.0,23.0,0.0,-96.9381,0.0684,0.85
