nodes,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,fixed_f1,adaptive_f1,fixed_dcr,adaptive_dcr,fixed_mean_tx_power_dbm,adaptive_mean_tx_power_dbm,adaptive_power_changes,tx_change_pct,energy_change_pct,collision_change_pct,below_sensitivity_change
20,100,100,log_normal,-95,-10,1.0,1.0,1.0,1.0,-10.0,-1.0,18.0,0.0,0.19354510110184656,1.8691588785046729,-9.0
20,100,100,log_normal,-95,0,1.0,1.0,1.0,1.0,0.0,3.5,21.0,0.0,0.0,-0.3552397868561279,1.0
20,100,100,log_normal,-85,-10,0.9474,1.0,1.0,1.0,-10.0,1.0,22.0,8.108108108108109,7.80970966732332,102.54777070063695,-176.0
20,100,100,log_normal,-85,0,1.0,1.0,1.0,1.0,0.0,9.0,18.0,0.0,0.19354510110184656,1.8691588785046729,-9.0
20,100,100,rician,-95,-10,1.0,1.0,1.0,1.0,-10.0,-0.5,19.0,0.0,0.29151039890895375,2.0491803278688523,-6.0
20,100,100,rician,-95,0,1.0,1.0,1.0,1.0,0.0,3.5,21.0,0.0,0.0,-1.4260249554367201,8.0
20,100,100,rician,-85,-10,0.8889,1.0,0.85,0.9,-10.0,1.5,23.0,25.806451612903224,6.763900866109266,205.3763440860215,-95.0
20,100,100,rician,-85,0,1.0,1.0,1.0,1.0,0.0,9.5,19.0,0.0,0.29151039890895375,2.0491803278688523,-6.0
20,500,500,log_normal,-95,-10,0.6667,0.9744,0.55,0.5,-10.0,1.5,23.0,13.333333333333334,11.825474233165462,294.44444444444446,-92.0
20,500,500,log_normal,-95,0,1.0,1.0,1.0,1.0,0.0,10.5,21.0,0.0,2.466080575937976,11.985018726591761,-47.0
20,500,500,log_normal,-85,-10,0.0952,0.0952,0.0,0.0,-10.0,0.5,21.0,-9.090909090909092,3.6579944537352675,0.0,-101.0
20,500,500,log_normal,-85,0,0.6667,0.9744,0.55,0.5,0.0,11.5,23.0,13.333333333333334,11.825474233165462,294.44444444444446,-92.0
20,500,500,rician,-95,-10,0.7097,0.6207,0.6,0.05,-10.0,-0.5,19.0,-12.903225806451612,9.504281027446586,153.33333333333334,-209.0
20,500,500,rician,-95,0,1.0,1.0,1.0,1.0,0.0,10.5,21.0,-3.125,2.5655803555834886,17.35159817351598,-75.0
20,500,500,rician,-85,-10,0.0,0.0952,0.0,0.0,-10.0,1.5,23.0,0.0,3.4337771548703486,0.0,-40.0
20,500,500,rician,-85,0,0.7097,0.6207,0.6,0.05,0.0,9.5,19.0,-12.903225806451612,9.504281027446586,153.33333333333334,-209.0
