policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,run,seed
event_driven,20,356,464,17088,254.52,31.0,12.4,0.0,0.0,0.0,0.0,124.6,83.52,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,2141,34,0,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,free_space,0,38.0,0,21234
dstep,20,32,109,1536,267.135,31.0,12.4,93.0,21.0,57.84,18.075,11.2,19.62,3.0,1.0,0.7,0.8235,1.0,-1.3755,5,1.398,-0.6219,0.6219,32.1222,2.6703,2.4638,135,5,109,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,free_space,0,38.0,0,21234
event_driven,20,356,516,17088,263.88,31.0,12.4,0.0,0.0,0.0,0.0,124.6,92.88,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,6054,94,0,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,free_space,0,100.0,0,21234
dstep,20,39,191,1872,293.585,31.0,12.4,93.0,21.0,64.88,20.275,13.65,34.38,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.5219,2.5219,29.1953,14.2724,0.8918,506,32,191,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,free_space,0,100.0,0,21234
event_driven,20,356,459,17088,253.62,31.0,12.4,0.0,0.0,0.0,0.0,124.6,82.62,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,2124,56,0,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,log_normal,0,38.0,0,21234
dstep,20,39,127,1872,275.24,31.0,12.4,93.0,21.0,59.68,18.65,13.65,22.86,3.0,1.0,0.95,0.9744,1.0,-1.3755,5,0.7442,-0.4235,0.4235,35.629,5.0648,2.0246,157,18,127,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,log_normal,0,38.0,0,21234
event_driven,20,356,510,17088,262.8,31.0,12.4,0.0,0.0,0.0,0.0,124.6,91.8,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,5945,209,0,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,log_normal,0,100.0,0,21234
dstep,20,42,198,2016,296.63,31.0,12.4,93.0,21.0,65.44,20.45,14.7,35.64,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0245,-0.873,0.873,28.0881,10.8139,1.2977,518,70,198,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,log_normal,0,100.0,0,21234
event_driven,20,356,453,17088,252.54,31.0,12.4,0.0,0.0,0.0,0.0,124.6,81.54,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,2073,113,0,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,rayleigh,0,38.0,0,21234
dstep,20,35,105,1680,267.57,31.0,12.4,93.0,21.0,57.92,18.1,12.25,18.9,3.0,1.0,0.95,0.9744,0.9,-1.3755,5,1.481,0.8261,-0.8261,35.169,5.045,2.3232,141,25,105,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,rayleigh,0,38.0,0,21234
