policy,nodes,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,runs,tx_packets_mean,tx_packets_std,energy_mj_mean,energy_mj_std,f1_mean,f1_std,dcr_mean,dcr_std,collisions_mean,collisions_std,channel_losses_mean,channel_losses_std,mean_lead_time_s_mean,mean_lead_time_s_std,mean_degree_mean,mean_degree_std,isolated_nodes_mean,isolated_nodes_std,connected_components_mean,connected_components_std,largest_component_fraction_mean,largest_component_fraction_std,mean_nearest_neighbor_m_mean,mean_nearest_neighbor_m_std,mean_neighbor_distance_m_mean,mean_neighbor_distance_m_std,estimated_sensing_coverage_fraction_mean,estimated_sensing_coverage_fraction_std
event_driven,20,100,100,free_space,0,38.0,1,356.0,0.0,254.52,0.0,1.0,0.0,1.0,0.0,2141.0,0.0,34.0,0.0,1.3795,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
dstep,20,100,100,free_space,0,38.0,1,32.0,0.0,267.135,0.0,0.8235,0.0,1.0,0.0,135.0,0.0,5.0,0.0,0.6219,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
event_driven,20,100,100,free_space,0,100.0,1,356.0,0.0,263.88,0.0,1.0,0.0,1.0,0.0,6054.0,0.0,94.0,0.0,1.3795,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
dstep,20,100,100,free_space,0,100.0,1,39.0,0.0,293.585,0.0,1.0,0.0,1.0,0.0,506.0,0.0,32.0,0.0,2.5219,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
event_driven,20,100,100,log_normal,0,38.0,1,356.0,0.0,253.62,0.0,1.0,0.0,1.0,0.0,2124.0,0.0,56.0,0.0,1.3795,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
dstep,20,100,100,log_normal,0,38.0,1,39.0,0.0,275.24,0.0,0.9744,0.0,1.0,0.0,157.0,0.0,18.0,0.0,0.4235,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
event_driven,20,100,100,log_normal,0,100.0,1,356.0,0.0,262.8,0.0,1.0,0.0,1.0,0.0,5945.0,0.0,209.0,0.0,1.3795,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
dstep,20,100,100,log_normal,0,100.0,1,42.0,0.0,296.63,0.0,1.0,0.0,1.0,0.0,518.0,0.0,70.0,0.0,0.873,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
event_driven,20,100,100,rayleigh,0,38.0,1,356.0,0.0,252.54,0.0,1.0,0.0,1.0,0.0,2073.0,0.0,113.0,0.0,1.3795,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
dstep,20,100,100,rayleigh,0,38.0,1,35.0,0.0,267.57,0.0,0.9744,0.0,0.9,0.0,141.0,0.0,25.0,0.0,-0.8261,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
event_driven,20,100,100,rayleigh,0,100.0,1,356.0,0.0,261.54,0.0,1.0,0.0,1.0,0.0,5872.0,0.0,289.0,0.0,1.3795,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
dstep,20,100,100,rayleigh,0,100.0,1,42.0,0.0,294.635,0.0,1.0,0.0,1.0,0.0,480.0,0.0,115.0,0.0,1.7233,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
event_driven,20,100,100,rician,0,38.0,1,356.0,0.0,252.9,0.0,1.0,0.0,1.0,0.0,2095.0,0.0,89.0,0.0,1.3795,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
dstep,20,100,100,rician,0,38.0,1,33.0,0.0,265.88,0.0,0.8571,0.0,0.85,0.0,135.0,0.0,18.0,0.0,-0.3255,0.0,7.3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,24.41864973795868,0.0,0.848125,0.0
event_driven,20,100,100,rician,0,100.0,1,356.0,0.0,262.26,0.0,1.0,0.0,1.0,0.0,5918.0,0.0,239.0,0.0,1.3795,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
dstep,20,100,100,rician,0,100.0,1,39.0,0.0,290.45,0.0,1.0,0.0,1.0,0.0,453.0,0.0,96.0,0.0,2.2719,0.0,18.7,0.0,0.0,0.0,1.0,0.0,1.0,0.0,12.547214001481091,0.0,45.25985187519882,0.0,0.848125,0.0
event_driven,20,500,500,free_space,0,38.0,1,84.0,0.0,82.28,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6646,0.0,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
dstep,20,500,500,free_space,0,38.0,1,14.0,0.0,228.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
event_driven,20,500,500,free_space,0,100.0,1,84.0,0.0,95.96,0.0,0.8,0.0,1.0,0.0,91.0,0.0,33.0,0.0,2.6646,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
dstep,20,500,500,free_space,0,100.0,1,12.0,0.0,232.445,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,,,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
event_driven,20,500,500,log_normal,0,38.0,1,84.0,0.0,82.28,0.0,0.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.6646,0.0,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
dstep,20,500,500,log_normal,0,38.0,1,14.0,0.0,228.585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2,0.0,16.0,0.0,18.0,0.0,0.1,0.0,62.73607000740545,0.0,21.75148680653024,0.0,0.095,0.0
event_driven,20,500,500,log_normal,0,100.0,1,84.0,0.0,93.44,0.0,0.8,0.0,1.0,0.0,80.0,0.0,58.0,0.0,2.6646,0.0,2.4,0.0,2.0,0.0,4.0,0.0,0.75,0.0,62.73607000740545,0.0,69.68522638587474,0.0,0.095,0.0
