policy,nodes,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,mean_degree_mean,isolated_nodes_mean,connected_components_mean,largest_component_fraction_mean,mean_nearest_neighbor_m_mean,mean_neighbor_distance_m_mean,estimated_sensing_coverage_fraction_mean,f1_mean,dcr_mean
event_driven,20,100,100,free_space,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,1.0,1.0
dstep,20,100,100,free_space,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,0.8235,1.0
event_driven,20,100,100,free_space,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
dstep,20,100,100,free_space,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
event_driven,20,100,100,log_normal,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,1.0,1.0
dstep,20,100,100,log_normal,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,0.9744,1.0
event_driven,20,100,100,log_normal,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
dstep,20,100,100,log_normal,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
event_driven,20,100,100,rayleigh,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,1.0,1.0
dstep,20,100,100,rayleigh,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,0.9744,0.9
event_driven,20,100,100,rayleigh,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
dstep,20,100,100,rayleigh,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
event_driven,20,100,100,rician,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,1.0,1.0
dstep,20,100,100,rician,0,38.0,7.3,0.0,1.0,1.0,12.547214001481091,24.41864973795868,0.848125,0.8571,0.85
event_driven,20,100,100,rician,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
dstep,20,100,100,rician,0,100.0,18.7,0.0,1.0,1.0,12.547214001481091,45.25985187519882,0.848125,1.0,1.0
event_driven,20,500,500,free_space,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.8,1.0
dstep,20,500,500,free_space,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.0,0.0
event_driven,20,500,500,free_space,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.8,1.0
dstep,20,500,500,free_space,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.0,0.0
event_driven,20,500,500,log_normal,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.8,1.0
dstep,20,500,500,log_normal,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.0,0.0
event_driven,20,500,500,log_normal,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.8,1.0
dstep,20,500,500,log_normal,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.2222,0.0
event_driven,20,500,500,rayleigh,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.8,1.0
dstep,20,500,500,rayleigh,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.0,0.0
event_driven,20,500,500,rayleigh,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.8,1.0
dstep,20,500,500,rayleigh,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.4,0.125
event_driven,20,500,500,rician,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.8,1.0
dstep,20,500,500,rician,0,38.0,0.2,16.0,18.0,0.1,62.73607000740545,21.75148680653024,0.095,0.0,0.0
event_driven,20,500,500,rician,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.8,1.0
dstep,20,500,500,rician,0,100.0,2.4,2.0,4.0,0.75,62.73607000740545,69.68522638587474,0.095,0.2222,0.0
