policy,nodes,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,f1_mean,dcr_mean,energy_mj_mean,tx_packets_mean,collisions_mean,channel_losses_mean,largest_component_fraction_mean
dstep,20,100,100,free_space,0,38.0,0.8235,1.0,267.135,32.0,135.0,5.0,1.0
dstep,20,100,100,free_space,0,100.0,1.0,1.0,293.585,39.0,506.0,32.0,1.0
dstep,20,100,100,log_normal,0,38.0,0.9744,1.0,275.24,39.0,157.0,18.0,1.0
dstep,20,100,100,log_normal,0,100.0,1.0,1.0,296.63,42.0,518.0,70.0,1.0
dstep,20,100,100,rayleigh,0,38.0,0.9744,0.9,267.57,35.0,141.0,25.0,1.0
dstep,20,100,100,rayleigh,0,100.0,1.0,1.0,294.635,42.0,480.0,115.0,1.0
dstep,20,100,100,rician,0,38.0,0.8571,0.85,265.88,33.0,135.0,18.0,1.0
dstep,20,100,100,rician,0,100.0,1.0,1.0,290.45,39.0,453.0,96.0,1.0
dstep,20,500,500,free_space,0,38.0,0.0,0.0,228.585,14.0,0.0,0.0,0.1
dstep,20,500,500,free_space,0,100.0,0.0,0.0,232.445,12.0,1.0,10.0,0.75
dstep,20,500,500,log_normal,0,38.0,0.0,0.0,228.585,14.0,0.0,0.0,0.1
dstep,20,500,500,log_normal,0,100.0,0.2222,0.0,232.615,13.0,0.0,16.0,0.75
dstep,20,500,500,rayleigh,0,38.0,0.0,0.0,228.585,14.0,0.0,0.0,0.1
dstep,20,500,500,rayleigh,0,100.0,0.4,0.125,235.26,17.0,4.0,20.0,0.75
dstep,20,500,500,rician,0,38.0,0.0,0.0,228.585,14.0,0.0,0.0,0.1
dstep,20,500,500,rician,0,100.0,0.2222,0.0,233.535,14.0,2.0,16.0,0.75
