policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,run,seed
dstep,20,37,117,1776,271.585,31.0,12.4,93.0,21.0,58.8,18.375,12.95,21.06,3.0,1.0,0.9,0.9474,1.0,-1.3755,5,1.0828,-0.7228,0.7228,20.7113,4.8151,1.1875,157,24,405,117,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-77.0279,0.2632,0,0,0,0,0,0.002,12.547214001481091,24.788422169258194,46.2277504604981,7.5,1,14,0,1,1.0,5.226038846756469,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,log_normal,-85,-10,fixed,0,21234
dstep,20,42,185,2016,292.925,31.0,12.4,93.0,21.0,64.4,20.125,14.7,33.3,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4224,2.4224,27.056,11.9946,0.9782,315,34,264,185,rule_based_adaptive,1.0,0.0,10.0,-4.2857,22,22,0,-68.627,0.2,0,0,0,0,0,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,10.226626216497465,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,-85,-10,rule_based_adaptive,0,21234
dstep,20,42,204,2016,298.34,31.0,12.4,93.0,21.0,65.92,20.6,14.7,36.72,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-1.7176,1.7176,34.3362,10.1604,1.497,141,55,398,204,channel_aware_adaptive,-7.5,-10.0,0.0,-7.7143,15,10,5,-74.9398,0.5875,21,18,21,10,0,0.002,12.547214001481091,37.6610614100023,46.2277504604981,10.65,2,19,0,1,1.0,6.019715357371421,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,log_normal,-85,-10,channel_aware_adaptive,0,21234
dstep,20,40,193,1920,294.505,31.0,12.4,93.0,21.0,65.04,20.325,14.0,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,29.8851,11.5191,1.2952,535,20,12,193,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-77.3551,0.175,0,0,0,0,0,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,-95,-10,fixed,0,21234
dstep,20,40,190,1920,293.65,31.0,12.4,93.0,21.0,64.8,20.25,14.0,34.2,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-1.6724,1.6724,26.5496,10.9995,1.2077,482,15,73,190,rule_based_adaptive,-6.5,-20.0,0.0,-8.5366,21,14,7,-74.371,0.175,0,0,0,0,0,0.002,12.547214001481091,42.605749866532484,46.2277504604981,15.6,5,19,0,1,1.0,15.193221091819396,0.22650472266644783,34.10613423387033,20.0,0.848125,100,100,log_normal,-95,-10,rule_based_adaptive,0,21234
dstep,20,41,278,1968,319.08,31.0,12.4,93.0,21.0,71.84,22.45,14.35,50.04,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-1.2635,1.2635,35.0134,16.0149,1.0446,251,49,201,278,channel_aware_adaptive,-17.5,-20.0,-10.0,-14.4186,23,4,19,-85.4285,0.6125,21,21,21,4,0,0.002,12.547214001481091,37.11180834186314,46.2277504604981,10.55,2,19,0,1,1.0,6.396388521836315,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,log_normal,-95,-10,channel_aware_adaptive,0,21234
dstep,20,31,108,1488,266.71,31.0,12.4,93.0,21.0,57.92,18.1,10.85,19.44,3.0,1.0,0.8,0.8889,0.85,-1.3755,5,3.067,-0.3054,0.3054,37.7762,5.8943,2.2279,93,34,354,108,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-77.6169,0.3611,0,0,0,0,0,0.002,12.547214001481091,24.788422169258194,46.2277504604981,7.5,1,14,0,1,1.0,5.226038846756469,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,rician,-85,-10,fixed,0,21234
dstep,20,35,139,1680,277.26,31.0,12.4,93.0,21.0,60.64,18.95,12.25,25.02,3.0,1.0,0.95,0.9744,0.9,-1.3755,5,1.4653,-0.9224,0.9224,35.6982,10.5571,2.8349,225,28,273,139,rule_based_adaptive,-1.0,-10.0,10.0,-5.0,22,20,2,-72.0069,0.35,0,0,0,0,0,0.002,12.547214001481091,45.659809312381526,46.2277504604981,17.75,8,19,0,1,1.0,9.615337734047435,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,-85,-10,rule_based_adaptive,0,21234
dstep,20,39,172,1872,288.17,31.0,12.4,93.0,21.0,63.36,19.8,13.65,30.96,3.0,1.0,1.0,1.0,0.9,-1.3755,5,1.3745,-0.7717,0.7717,33.7231,12.3977,1.1476,98,53,418,172,channel_aware_adaptive,-5.0,-10.0,0.0,-6.3158,18,14,4,-76.2238,0.4625,22,18,21,13,1,0.002,12.547214001481091,41.326131561554504,46.2277504604981,13.3,5,19,0,1,1.0,8.0262339196975,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,rician,-85,-10,channel_aware_adaptive,0,21234
dstep,20,39,190,1872,293.3,31.0,12.4,93.0,21.0,64.8,20.25,13.65,34.2,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,31.0219,10.3389,1.2062,488,30,33,190,fixed,-10.0,-10.0,-10.0,-10.0,0,0,0,-77.6537,0.1875,0,0,0,0,0,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,-95,-10,fixed,0,21234
