nodes,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,runs,f1_mean,dcr_mean,energy_mj_mean,tx_packets_mean,collisions_mean,channel_losses_mean,below_sensitivity_mean,mean_tx_power_dbm_mean,power_changes_mean,power_increases_mean,power_decreases_mean,radio_backoff_actions_mean,radio_wait_actions_mean,radio_congestion_events_mean,radio_coverage_events_mean,radio_channel_loss_events_mean,largest_component_fraction_mean
20,100,100,log_normal,-95,-10,channel_aware_adaptive,1,1.0,1.0,319.08,41.0,251.0,49.0,201.0,-17.5,23.0,4.0,19.0,21.0,21.0,21.0,4.0,0.0,1.0
20,100,100,log_normal,-95,-10,fixed,1,1.0,1.0,294.505,40.0,535.0,20.0,12.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,log_normal,-95,-10,rule_based_adaptive,1,1.0,1.0,293.65,40.0,482.0,15.0,73.0,-6.5,21.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,log_normal,-85,-10,channel_aware_adaptive,1,1.0,1.0,298.34,42.0,141.0,55.0,398.0,-7.5,15.0,10.0,5.0,21.0,18.0,21.0,10.0,0.0,1.0
20,100,100,log_normal,-85,-10,fixed,1,0.9474,1.0,271.585,37.0,157.0,24.0,405.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,log_normal,-85,-10,rule_based_adaptive,1,1.0,1.0,292.925,42.0,315.0,34.0,264.0,1.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,rician,-95,-10,channel_aware_adaptive,1,1.0,1.0,315.375,41.0,271.0,50.0,193.0,-15.5,27.0,8.0,19.0,21.0,20.0,21.0,8.0,0.0,1.0
20,100,100,rician,-95,-10,fixed,1,1.0,1.0,293.3,39.0,488.0,30.0,33.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,rician,-95,-10,rule_based_adaptive,1,1.0,1.0,293.87,39.0,464.0,14.0,71.0,-4.0,20.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,rician,-85,-10,channel_aware_adaptive,1,1.0,0.9,288.17,39.0,98.0,53.0,418.0,-5.0,18.0,14.0,4.0,22.0,18.0,21.0,13.0,1.0,1.0
20,100,100,rician,-85,-10,fixed,1,0.8889,0.85,266.71,31.0,93.0,34.0,354.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,100,100,rician,-85,-10,rule_based_adaptive,1,0.9744,0.9,277.26,35.0,225.0,28.0,273.0,-1.0,22.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
20,500,500,log_normal,-95,-10,channel_aware_adaptive,1,0.8889,0.85,278.525,33.0,73.0,41.0,366.0,-4.0,12.0,12.0,0.0,14.0,12.0,14.0,12.0,0.0,1.0
20,500,500,log_normal,-95,-10,fixed,1,0.6667,0.55,251.195,30.0,18.0,23.0,472.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
20,500,500,log_normal,-95,-10,rule_based_adaptive,1,0.9744,0.5,280.9,34.0,71.0,42.0,380.0,1.5,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
20,500,500,log_normal,-85,-10,channel_aware_adaptive,1,0.0952,0.0,260.005,31.0,3.0,17.0,479.0,2.5,25.0,25.0,0.0,1.0,1.0,1.0,25.0,0.0,1.0
20,500,500,log_normal,-85,-10,fixed,1,0.0952,0.0,236.195,33.0,0.0,0.0,623.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20,500,500,log_normal,-85,-10,rule_based_adaptive,1,0.0952,0.0,244.835,30.0,0.0,10.0,522.0,0.5,21.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
20,500,500,rician,-95,-10,channel_aware_adaptive,1,0.7097,0.05,270.9,29.0,43.0,39.0,342.0,-3.0,16.0,15.0,1.0,8.0,7.0,8.0,15.0,0.0,1.0
20,500,500,rician,-95,-10,fixed,1,0.7097,0.6,249.94,31.0,15.0,17.0,506.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8
20,500,500,rician,-95,-10,rule_based_adaptive,1,0.6207,0.05,273.695,27.0,38.0,38.0,297.0,-2.0,18.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
20,500,500,rician,-85,-10,channel_aware_adaptive,1,0.0952,0.0,251.805,32.0,3.0,18.0,527.0,4.0,28.0,28.0,0.0,1.0,1.0,1.0,28.0,0.0,1.0
20,500,500,rician,-85,-10,fixed,1,0.0,0.0,235.455,32.0,0.0,0.0,605.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
20,500,500,rician,-85,-10,rule_based_adaptive,1,0.0952,0.0,243.54,32.0,0.0,12.0,565.0,1.5,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
