nodes,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,initial_tx_power_dbm,controller,fixed_f1,adaptive_f1,fixed_dcr,adaptive_dcr,fixed_collisions,adaptive_collisions,fixed_below_sensitivity,adaptive_below_sensitivity,adaptive_mean_tx_power_dbm,adaptive_power_changes,adaptive_backoff_actions,adaptive_wait_actions
20,100,100,log_normal,-95,-10,rule_based_adaptive,1.0,1.0,1.0,1.0,535.0,482.0,12.0,73.0,-6.5,21.0,0.0,0.0
20,100,100,log_normal,-95,-10,channel_aware_adaptive,1.0,1.0,1.0,1.0,535.0,251.0,12.0,201.0,-17.5,23.0,21.0,21.0
20,100,100,log_normal,-85,-10,rule_based_adaptive,0.9474,1.0,1.0,1.0,157.0,315.0,405.0,264.0,1.0,22.0,0.0,0.0
20,100,100,log_normal,-85,-10,channel_aware_adaptive,0.9474,1.0,1.0,1.0,157.0,141.0,405.0,398.0,-7.5,15.0,21.0,18.0
20,100,100,rician,-95,-10,rule_based_adaptive,1.0,1.0,1.0,1.0,488.0,464.0,33.0,71.0,-4.0,20.0,0.0,0.0
20,100,100,rician,-95,-10,channel_aware_adaptive,1.0,1.0,1.0,1.0,488.0,271.0,33.0,193.0,-15.5,27.0,21.0,20.0
20,100,100,rician,-85,-10,rule_based_adaptive,0.8889,0.9744,0.85,0.9,93.0,225.0,354.0,273.0,-1.0,22.0,0.0,0.0
20,100,100,rician,-85,-10,channel_aware_adaptive,0.8889,1.0,0.85,0.9,93.0,98.0,354.0,418.0,-5.0,18.0,22.0,18.0
20,500,500,log_normal,-95,-10,rule_based_adaptive,0.6667,0.9744,0.55,0.5,18.0,71.0,472.0,380.0,1.5,23.0,0.0,0.0
20,500,500,log_normal,-95,-10,channel_aware_adaptive,0.6667,0.8889,0.55,0.85,18.0,73.0,472.0,366.0,-4.0,12.0,14.0,12.0
20,500,500,log_normal,-85,-10,rule_based_adaptive,0.0952,0.0952,0.0,0.0,0.0,0.0,623.0,522.0,0.5,21.0,0.0,0.0
20,500,500,log_normal,-85,-10,channel_aware_adaptive,0.0952,0.0952,0.0,0.0,0.0,3.0,623.0,479.0,2.5,25.0,1.0,1.0
20,500,500,rician,-95,-10,rule_based_adaptive,0.7097,0.6207,0.6,0.05,15.0,38.0,506.0,297.0,-2.0,18.0,0.0,0.0
20,500,500,rician,-95,-10,channel_aware_adaptive,0.7097,0.7097,0.6,0.05,15.0,43.0,506.0,342.0,-3.0,16.0,8.0,7.0
20,500,500,rician,-85,-10,rule_based_adaptive,0.0,0.0952,0.0,0.0,0.0,0.0,605.0,565.0,1.5,23.0,0.0,0.0
20,500,500,rician,-85,-10,channel_aware_adaptive,0.0,0.0952,0.0,0.0,0.0,3.0,605.0,527.0,4.0,28.0,1.0,1.0
