nodes,area_width_m,area_height_m,channel_model,baseline,critical_ai_compute_scale_tested,critical_ai_compute_scale_interpolated,ai_compute_energy_mj_at_tested_frontier,dstep_total_energy_mj_at_tested_frontier,frontier_status
20,100,100,log_normal,periodic,1.25,1.3273351689490196,267.1219,387.35366,break_even_found_within_tested_range
20,100,100,log_normal,event_driven,0.5,0.7349511150244298,106.84875,227.08058,break_even_found_within_tested_range
20,100,100,log_normal,distributed_edge,1.25,1.3012470836205525,267.1219,387.35366,break_even_found_within_tested_range
20,100,100,rician,periodic,1.25,1.3372837546343994,266.24249,385.28907,break_even_found_within_tested_range
20,100,100,rician,event_driven,0.5,0.7423515230754814,106.497,225.54363,break_even_found_within_tested_range
20,100,100,rician,distributed_edge,1.25,1.3177032115562957,266.24249,385.28907,break_even_found_within_tested_range
20,500,500,log_normal,periodic,1.5,1.5238257867322307,301.07925,399.09770000000003,break_even_found_within_tested_range
20,500,500,log_normal,event_driven,0.75,0.876872488908401,150.53966,248.55808,break_even_found_within_tested_range
20,500,500,log_normal,distributed_edge,1.5,1.6339233843454528,301.07925,399.09770000000003,break_even_found_within_tested_range
20,500,500,rician,periodic,1.5,1.5151457489173612,301.52025000000003,400.8355,break_even_found_within_tested_range
20,500,500,rician,event_driven,0.75,0.8677955094761785,150.76015,250.07537,break_even_found_within_tested_range
20,500,500,rician,distributed_edge,1.5,1.6149704435093761,301.52025000000003,400.8355,break_even_found_within_tested_range
50,100,100,log_normal,periodic,0.75,0.988951926772632,450.83477,866.0629,break_even_found_within_tested_range
50,100,100,log_normal,event_driven,0.5,0.5107965050966121,300.5565,715.78464,break_even_found_within_tested_range
50,100,100,log_normal,distributed_edge,0.75,0.8329777119068196,450.83477,866.0629,break_even_found_within_tested_range
50,100,100,rician,periodic,1.0,1.0064414808032944,597.3225,1005.85236,break_even_found_within_tested_range
50,100,100,rician,event_driven,0.5,0.5250709616640604,298.66125,707.19111,break_even_found_within_tested_range
50,100,100,rician,distributed_edge,0.75,0.8596966941291556,447.99189,856.52174,break_even_found_within_tested_range
50,500,500,log_normal,periodic,1.25,1.3360265695115408,666.00001,963.8650299999999,break_even_found_within_tested_range
50,500,500,log_normal,event_driven,0.75,0.7678389478737159,399.60002000000003,697.46511,break_even_found_within_tested_range
50,500,500,log_normal,distributed_edge,1.25,1.3623198535758356,666.00001,963.8650299999999,break_even_found_within_tested_range
50,500,500,rician,periodic,1.25,1.3325742133711092,666.81376,965.6507,break_even_found_within_tested_range
50,500,500,rician,event_driven,0.75,0.7610984334904937,400.08826999999997,698.92523,break_even_found_within_tested_range
50,500,500,rician,distributed_edge,1.25,1.3490858845345741,666.81376,965.6507,break_even_found_within_tested_range
100,100,100,log_normal,periodic,0.5,0.7267785429872256,665.52,1717.54867,break_even_found_within_tested_range
100,100,100,log_normal,event_driven,0.25,0.314532247401498,332.75998,1384.78868,break_even_found_within_tested_range
100,100,100,log_normal,distributed_edge,0.25,0.4834130171083561,332.75998,1384.78868,break_even_found_within_tested_range
100,100,100,rician,periodic,0.5,0.7410136823656084,661.6297500000001,1700.4763599999999,break_even_found_within_tested_range
100,100,100,rician,event_driven,0.25,0.3262482328485345,330.81484,1369.66148,break_even_found_within_tested_range
100,100,100,rician,distributed_edge,0.5,0.5030076218907596,661.6297500000001,1700.4763599999999,break_even_found_within_tested_range
100,500,500,log_normal,periodic,1.0,1.1963523081991196,1116.7245,1800.12861,break_even_found_within_tested_range
100,500,500,log_normal,event_driven,0.5,0.6863796207723774,558.36225,1241.76636,break_even_found_within_tested_range
100,500,500,log_normal,distributed_edge,1.0,1.1761058372721667,1116.7245,1800.12861,break_even_found_within_tested_range
100,500,500,rician,periodic,1.0,1.1966210135814634,1116.525,1799.86777,break_even_found_within_tested_range
100,500,500,rician,event_driven,0.5,0.6819464572368958,558.2625,1241.60527,break_even_found_within_tested_range
100,500,500,rician,distributed_edge,1.0,1.1686586554285365,1116.525,1799.86777,break_even_found_within_tested_range
