nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,baseline,paired_runs,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_diff_mean,energy_mj_diff_ci95_low,energy_mj_diff_ci95_high,energy_mj_wilcoxon_p,f1_full_mean,f1_baseline_mean,f1_diff_mean,f1_diff_ci95_low,f1_diff_ci95_high,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_diff_mean,dcr_diff_ci95_low,dcr_diff_ci95_high,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_diff_mean,tx_packets_diff_ci95_low,tx_packets_diff_ci95_high,tx_packets_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_diff_mean,collisions_diff_ci95_low,collisions_diff_ci95_high,collisions_wilcoxon_p
20,100,100,log_normal,0.1,periodic,10,141.60158,403.88,-262.27842,-266.32463528537716,-258.2322047146228,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,0.1,event_driven,10,141.60158,277.28906,-135.68748,-141.58087746799285,-129.79408253200714,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.1,distributed_edge,10,141.60158,286.58906,-144.98748,-150.88087746799286,-139.09408253200715,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.25,periodic,10,173.65622,403.88,-230.22378,-234.57632106507012,-225.8712389349299,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,0.25,event_driven,10,173.65622,277.28906,-103.63283999999999,-109.66557310782225,-97.60010689217772,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.25,distributed_edge,10,173.65622,300.53906,-126.88283999999999,-132.91557310782224,-120.85010689217772,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.5,periodic,10,227.08058,403.88,-176.79942,-181.6627698243197,-171.9360701756803,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,0.5,event_driven,10,227.08058,277.28906,-50.208479999999994,-56.49996069136887,-43.91699930863112,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.5,distributed_edge,10,227.08058,323.78906,-96.70848,-102.99996069136887,-90.41699930863112,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.75,periodic,10,280.50497,403.88,-123.37503,-128.7494521104433,-118.0006078895567,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
20,100,100,log_normal,0.75,event_driven,10,280.50497,277.28906,3.215910000000008,-3.3640991788199495,9.795919178819965,0.322265625,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,0.75,distributed_edge,10,280.50497,347.03906,-66.53408999999999,-73.11409917881996,-59.954080821180035,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,377.9,5975.0,-5597.1,-5765.707461276844,-5428.492538723157,0.001953125
20,100,100,log_normal,1.0,periodic,10,333.92933,403.88,-69.95066999999999,-75.83634905411293,-64.06499094588705,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,377.9,10796.0,-10418.1,-10434.043073675493,-10402.156926324507,0.001953125
