policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,algorithm_family,algorithm,ai_compute_scale,area_width_m,area_height_m,channel_model,run,seed
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.6237,7,,-0.6237,0.6237,,,,10796,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.3425,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.48781236624616,55.0,20.0,0.819375,classical_baseline,periodic,0.1,100,100,log_normal,0,201234
event_driven,20,349,499,16752,281.3342,31.0,12.4,0.0,0.0,0.0,0.0,145.1142,89.82,3.0,1.0,1.0,1.0,1.0,-0.6237,7,,-0.6237,0.6237,,,,6128,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.7899,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.48781236624616,55.0,20.0,0.819375,classical_baseline,event_driven,0.1,100,100,log_normal,0,201234
distributed_edge,20,349,499,16752,290.6342,31.0,12.4,9.3,0.0,0.0,0.0,145.1142,89.82,3.0,1.0,1.0,1.0,1.0,-0.6197,7,,-0.6197,0.6197,,,,6128,4,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.7899,0.05,0,0,0,0,0,0.002,11.103659161092521,53.561243568917035,53.561243568917035,19.0,19,19,0,1,1.0,18.58452189881388,9.48781236624616,55.0,20.0,0.819375,classical_baseline,distributed_edge,0.1,100,100,log_normal,0,201234
dstep,20,35,270,1680,128.7388,31.0,12.4,9.3,2.1,7.12,2.225,12.9938,48.6,3.0,1.0,1.0,1.0,1.0,-0.6197,7,1.2303,-0.6652,0.6652,38.9995,13.833,1.2515,352,26,17,270,channel_aware_adaptive,-15.0,-20.0,-10.0,-8.0,30,0,30,-74.2093,0.3625,20,20,20,0,0,0.002,11.103659161092521,44.2060789553146,53.561243568917035,12.3,3,19,0,1,1.0,8.121462803686116,0.01716140729035942,35.0,20.0,0.819375,intelligent_dstep,dstep_full,0.1,100,100,log_normal,0,201234
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,0.0033,3,,0.0033,-0.0033,,,,10793,7,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3769,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,classical_baseline,periodic,0.1,100,100,log_normal,1,201235
event_driven,20,340,517,16320,280.832,31.0,12.4,0.0,0.0,0.0,0.0,141.372,93.06,3.0,1.0,1.0,1.0,1.0,0.0033,3,,0.0033,-0.0033,,,,5940,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3926,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,classical_baseline,event_driven,0.1,100,100,log_normal,1,201235
distributed_edge,20,340,517,16320,290.132,31.0,12.4,9.3,0.0,0.0,0.0,141.372,93.06,3.0,1.0,1.0,1.0,1.0,0.0073,3,,0.0073,-0.0073,,,,5940,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-69.3926,0.05,0,0,0,0,0,0.002,12.9281405603957,56.36996734414206,56.36996734414206,19.0,19,19,0,1,1.0,17.772021110883376,9.90970772196333,40.20816470038964,20.0,0.95,classical_baseline,distributed_edge,0.1,100,100,log_normal,1,201235
dstep,20,42,383,2016,152.4482,31.0,12.4,9.3,2.1,8.024,2.5075,15.1767,68.94,3.0,1.0,1.0,1.0,1.0,0.0073,3,1.1073,-3.4752,3.4752,34.2497,11.5235,0.9843,346,20,49,383,channel_aware_adaptive,-15.5,-20.0,-10.0,-8.4906,33,1,32,-79.7234,0.475,20,20,20,1,0,0.002,12.9281405603957,51.18559887184582,56.36996734414206,11.55,3,19,0,1,1.0,6.146727028405128,0.02831758419026187,29.76469166578144,20.0,0.95,intelligent_dstep,dstep_full,0.1,100,100,log_normal,1,201235
periodic,20,600,600,28800,403.88,31.0,12.4,0.0,0.0,0.0,0.0,249.48,108.0,3.0,1.0,1.0,1.0,1.0,-0.4696,6,,-0.4696,0.4696,,,,10792,8,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.8251,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,classical_baseline,periodic,0.1,100,100,log_normal,2,201236
event_driven,20,326,477,15648,267.8108,31.0,12.4,0.0,0.0,0.0,0.0,135.5508,85.86,3.0,1.0,1.0,1.0,1.0,-0.4696,6,,-0.4696,0.4696,,,,5712,5,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.9593,0.05,0,0,0,0,0,0.002,10.4335271424556,52.53599547102051,52.53599547102051,19.0,19,19,0,1,1.0,18.96541902317029,9.27805436254701,47.22298104916496,20.0,0.775625,classical_baseline,event_driven,0.1,100,100,log_normal,2,201236
