algorithm_family,algorithm,nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,runs,f1_mean,f1_std,f1_ci95_low,f1_ci95_high,dcr_mean,dcr_std,dcr_ci95_low,dcr_ci95_high,tx_packets_mean,tx_packets_std,tx_packets_ci95_low,tx_packets_ci95_high,energy_mj_mean,energy_mj_std,energy_mj_ci95_low,energy_mj_ci95_high,energy_tx_mj_mean,energy_tx_mj_std,energy_tx_mj_ci95_low,energy_tx_mj_ci95_high,energy_rx_mj_mean,energy_rx_mj_std,energy_rx_mj_ci95_low,energy_rx_mj_ci95_high,energy_infer_mj_mean,energy_infer_mj_std,energy_infer_mj_ci95_low,energy_infer_mj_ci95_high,energy_consensus_mj_mean,energy_consensus_mj_std,energy_consensus_mj_ci95_low,energy_consensus_mj_ci95_high,energy_estimate_mj_mean,energy_estimate_mj_std,energy_estimate_mj_ci95_low,energy_estimate_mj_ci95_high,energy_prediction_mj_mean,energy_prediction_mj_std,energy_prediction_mj_ci95_low,energy_prediction_mj_ci95_high,collisions_mean,collisions_std,collisions_ci95_low,collisions_ci95_high,mean_lead_time_s_mean,mean_lead_time_s_std,mean_lead_time_s_ci95_low,mean_lead_time_s_ci95_high,ai_compute_energy_mj_mean,ai_compute_energy_mj_std
classical_baseline,distributed_edge,20,100,100,log_normal,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,286.58906,8.932112603186328,281.05287925193977,292.12524074806026,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,9.3,0.0,9.3,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,9.3,0.0
intelligent_dstep,dstep_full,20,100,100,log_normal,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,141.60158,6.528191941418391,137.55536471462284,145.64779528537719,14.52183,0.74161235314235,14.062173901337996,14.981486098662003,59.31,5.666268613470419,55.79801032803341,62.82198967196659,9.3,0.0,9.3,9.3,2.1,0.0,2.1,2.1,7.596,0.2518341605986851,7.439911570134819,7.752088429865181,2.37375,0.07869817518708914,2.3249723656671306,2.422527634332869,377.9,25.58840883420981,362.0401398913273,393.7598601086726,2.39434,1.006060502046362,1.7707772405217972,3.0179027594782033,21.36975,0.33053233578577407
classical_baseline,event_driven,20,100,100,log_normal,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.28906,8.932112603186328,271.75287925193976,282.82524074806025,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,log_normal,0.1,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10796.0,2.8674417556808756,10794.222741186859,10797.777258813141,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,log_normal,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,300.53906,8.932112603186328,295.00287925193976,306.07524074806025,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,23.25,0.0,23.25,23.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,23.25,0.0
intelligent_dstep,dstep_full,20,100,100,log_normal,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,173.65622,7.022420089304444,169.30367893492988,178.0087610650701,14.52183,0.74161235314235,14.062173901337996,14.981486098662003,59.31,5.666268613470419,55.79801032803341,62.82198967196659,23.25,0.0,23.25,23.25,5.25,0.0,5.25,5.25,18.99,0.6295854014967132,18.599778925337045,19.380221074662952,5.93435,0.19674623390437626,5.812405420841178,6.0562945791588225,377.9,25.58840883420981,362.0401398913273,393.7598601086726,2.39434,1.006060502046362,1.7707772405217972,3.0179027594782033,53.424350000000004,0.8263316340576868
classical_baseline,event_driven,20,100,100,log_normal,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,277.28906,8.932112603186328,271.75287925193976,282.82524074806025,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,periodic,20,100,100,log_normal,0.25,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,600.0,0.0,600.0,600.0,403.88,0.0,403.88,403.88,249.48,0.0,249.48,249.48,108.0,0.0,108.0,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10796.0,2.8674417556808756,10794.222741186859,10797.777258813141,0.52448,0.43095208756633,0.2573731288136692,0.7915868711863308,0.0,0.0
classical_baseline,distributed_edge,20,100,100,log_normal,0.5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,340.7,15.33369564789331,331.19607697374977,350.2039230262502,323.78906,8.932112603186328,318.25287925193976,329.32524074806025,141.66306,6.375750650394038,137.71132880568516,145.61479119431485,89.226,4.1081820797038695,86.67972236674788,91.77227763325212,46.5,0.0,46.5,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5975.0,282.57191808261643,5799.860110667057,6150.139889332943,0.5204799999999999,0.43095208756633,0.2533731288136692,0.7875868711863308,46.5,0.0
intelligent_dstep,dstep_full,20,100,100,log_normal,0.5,10,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,39.9,2.378141197564929,38.42601281477001,41.373987185229986,227.08058,7.846562501545931,222.2172301756803,231.9439298243197,14.52183,0.74161235314235,14.062173901337996,14.981486098662003,59.31,5.666268613470419,55.79801032803341,62.82198967196659,46.5,0.0,46.5,46.5,10.5,0.0,10.5,10.5,37.98,1.2591708029934263,37.19955785067409,38.760442149325904,11.86875,0.3934908759354458,11.624861828335654,12.112638171664347,377.9,25.58840883420981,362.0401398913273,393.7598601086726,2.39434,1.006060502046362,1.7707772405217972,3.0179027594782033,106.84875,1.6526616789288733
