policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,run,seed,connectivity_ok,quality_ok,operational_ok
dstep,20,39,127,1872,275.24,31.0,12.4,93.0,21.0,59.68,18.65,13.65,22.86,3.0,1.0,0.95,0.9744,1.0,-1.3755,5,0.7442,-0.4235,0.4235,35.629,5.0648,2.0246,157,18,127,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,log_normal,0,38,0,21234,1,1,1
dstep,20,42,198,2016,296.63,31.0,12.4,93.0,21.0,65.44,20.45,14.7,35.64,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0245,-0.873,0.873,28.0881,10.8139,1.2977,518,70,198,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,log_normal,0,100,0,21234,1,1,1
dstep,20,42,202,2016,297.77,31.0,12.4,93.0,21.0,65.76,20.55,14.7,36.36,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0245,-0.8233,0.8233,28.953,11.5152,1.0014,522,74,202,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,20.0,0.848125,100,100,log_normal,0,250,0,21234,1,1,1
dstep,20,33,103,1584,265.88,31.0,12.4,93.0,21.0,57.44,17.95,11.55,18.54,3.0,1.0,0.75,0.8571,0.85,-1.3755,5,1.6483,0.3255,-0.3255,29.5735,2.9478,2.368,135,18,103,0.002,12.547214001481091,24.41864973795868,46.2277504604981,7.3,1,14,0,1,1.0,20.0,0.848125,100,100,rician,0,38,0,21234,1,0,0
dstep,20,39,180,1872,290.45,31.0,12.4,93.0,21.0,64.0,20.0,13.65,32.4,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.2719,2.2719,28.2648,9.361,1.4661,453,96,180,0.002,12.547214001481091,45.25985187519882,46.2277504604981,18.7,16,19,0,1,1.0,20.0,0.848125,100,100,rician,0,100,0,21234,1,1,1
dstep,20,39,185,1872,291.875,31.0,12.4,93.0,21.0,64.4,20.125,13.65,33.3,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.2719,2.2719,27.5769,9.2921,1.4381,470,86,185,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,20.0,0.848125,100,100,rician,0,250,0,21234,1,1,1
dstep,20,15,1,720,228.935,31.0,12.4,93.0,21.0,48.08,15.025,5.25,0.18,3.0,0.0,0.0,0.0,0.0,-3.1049,4,,,,,,,0,0,1,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,log_normal,0,38,0,21234,0,0,0
dstep,20,17,20,816,235.47,31.0,12.4,93.0,21.0,49.92,15.6,5.95,3.6,3.0,1.0,0.2,0.3333,0.05,-3.1049,4,3.872,3.3742,-3.3742,45.7947,2.5244,1.1096,3,18,20,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,log_normal,0,100,0,21234,0,0,0
dstep,20,16,39,768,240.64,31.0,12.4,93.0,21.0,51.52,16.1,5.6,7.02,3.0,1.0,0.25,0.4,0.45,-3.1049,4,2.4954,0.6711,-0.6711,130.1121,10.0255,3.6729,39,136,39,8e-05,62.73607000740545,159.14380604335597,231.13875230249047,11.3,3,18,0,1,1.0,20.0,0.095,500,500,log_normal,0,250,0,21234,1,0,0
dstep,20,15,1,720,228.935,31.0,12.4,93.0,21.0,48.08,15.025,5.25,0.18,3.0,0.0,0.0,0.0,0.0,-3.1049,4,,,,,,,0,0,1,8e-05,62.73607000740545,21.75148680653024,231.13875230249047,0.2,0,1,16,18,0.1,20.0,0.095,500,500,rician,0,38,0,21234,0,0,0
dstep,20,11,9,528,229.815,31.0,12.4,93.0,21.0,48.72,15.225,3.85,1.62,3.0,0.0,0.0,0.0,0.0,-3.1049,4,,,,,,,1,15,9,8e-05,62.73607000740545,69.68522638587474,231.13875230249047,2.4,0,5,2,4,0.75,20.0,0.095,500,500,rician,0,100,0,21234,0,0,0
dstep,20,7,18,336,231.085,31.0,12.4,93.0,21.0,49.52,15.475,2.45,3.24,3.0,1.0,0.05,0.0952,0.15,-3.1049,4,0.8619,-0.4716,0.4716,164.8677,17.0406,3.8133,6,65,18,8e-05,62.73607000740545,159.14380604335597,231.13875230249047,11.3,3,18,0,1,1.0,20.0,0.095,500,500,rician,0,250,0,21234,1,0,0
