nodes,area_width_m,area_height_m,channel_model,tx_power_dbm,neighbor_radius_m,runs,largest_component_fraction_mean,mean_degree_mean,isolated_nodes_mean,connected_components_mean,mean_nearest_neighbor_m_mean,mean_neighbor_distance_m_mean,f1_mean,dcr_mean,energy_mj_mean,tx_packets_mean,collisions_mean,channel_losses_mean,mean_lead_time_s_mean,connectivity_success_rate,quality_success_rate,operational_success_rate
20,100,100,log_normal,0,38,1,1.0,7.3,0.0,1.0,12.547214001481091,24.41864973795868,0.9744,1.0,275.24,39.0,157.0,18.0,0.4235,1,1,1
20,100,100,log_normal,0,100,1,1.0,18.7,0.0,1.0,12.547214001481091,45.25985187519882,1.0,1.0,296.63,42.0,518.0,70.0,0.873,1,1,1
20,100,100,log_normal,0,250,1,1.0,19.0,0.0,1.0,12.547214001481091,46.2277504604981,1.0,1.0,297.77,42.0,522.0,74.0,0.8233,1,1,1
20,100,100,rician,0,38,1,1.0,7.3,0.0,1.0,12.547214001481091,24.41864973795868,0.8571,0.85,265.88,33.0,135.0,18.0,-0.3255,1,0,0
20,100,100,rician,0,100,1,1.0,18.7,0.0,1.0,12.547214001481091,45.25985187519882,1.0,1.0,290.45,39.0,453.0,96.0,2.2719,1,1,1
20,100,100,rician,0,250,1,1.0,19.0,0.0,1.0,12.547214001481091,46.2277504604981,1.0,1.0,291.875,39.0,470.0,86.0,2.2719,1,1,1
20,500,500,log_normal,0,38,1,0.1,0.2,16.0,18.0,62.73607000740545,21.75148680653024,0.0,0.0,228.935,15.0,0.0,0.0,,0,0,0
20,500,500,log_normal,0,100,1,0.75,2.4,2.0,4.0,62.73607000740545,69.68522638587474,0.3333,0.05,235.47,17.0,3.0,18.0,-3.3742,0,0,0
20,500,500,log_normal,0,250,1,1.0,11.3,0.0,1.0,62.73607000740545,159.14380604335597,0.4,0.45,240.64,16.0,39.0,136.0,-0.6711,1,0,0
20,500,500,rician,0,38,1,0.1,0.2,16.0,18.0,62.73607000740545,21.75148680653024,0.0,0.0,228.935,15.0,0.0,0.0,,0,0,0
20,500,500,rician,0,100,1,0.75,2.4,2.0,4.0,62.73607000740545,69.68522638587474,0.0,0.0,229.815,11.0,1.0,15.0,,0,0,0
20,500,500,rician,0,250,1,1.0,11.3,0.0,1.0,62.73607000740545,159.14380604335597,0.0952,0.15,231.085,7.0,6.0,65.0,0.4716,1,0,0
