policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,radio_control_mode,mean_tx_power_dbm,min_tx_power_dbm,max_tx_power_dbm,mean_power_history_dbm,power_changes,power_increases,power_decreases,mean_feedback_rssi_dbm,mean_feedback_success_rate,radio_backoff_actions,radio_wait_actions,radio_congestion_events,radio_coverage_events,radio_channel_loss_events,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,algorithm_family,algorithm,intelligence_level,area_width_m,area_height_m,channel_model,run,seed
periodic,20,600,600,28800,364.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,108.0,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,10799,1,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.4329,0.05,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,classical_baseline,periodic,0,100,100,log_normal,0,21234
event_driven,20,356,518,17088,264.24,31.0,12.4,0.0,0.0,0.0,0.0,124.6,93.24,3.0,1.0,1.0,1.0,1.0,-1.3795,5,,-1.3795,1.3795,,,,6244,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.0958,0.05,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,classical_baseline,event_driven,0,100,100,log_normal,0,21234
distributed_edge,20,356,518,17088,357.24,31.0,12.4,93.0,0.0,0.0,0.0,124.6,93.24,3.0,1.0,1.0,1.0,1.0,-1.3755,5,,-1.3755,1.3755,,,,6244,2,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.0958,0.05,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,classical_baseline,distributed_edge,0,100,100,log_normal,0,21234
dstep,20,240,398,11520,295.04,31.0,12.4,93.0,0.0,0.0,0.0,84.0,71.64,3.0,1.0,1.0,1.0,1.0,-1.3755,5,-0.1755,-0.2751,0.2751,,,,4162,0,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.3194,0.0625,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,intelligent_dstep,dstep_0_local,1,100,100,log_normal,0,21234
dstep,20,241,418,11568,319.99,31.0,12.4,93.0,21.0,0.0,0.0,84.35,75.24,3.0,1.0,1.0,1.0,1.0,-1.3755,5,-0.8255,-0.8753,0.8753,,,,4158,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-66.9397,0.1125,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,intelligent_dstep,dstep_1_consensus,2,100,100,log_normal,0,21234
dstep,20,243,456,11664,327.53,31.0,12.4,93.0,21.0,0.0,0.0,85.05,82.08,3.0,1.0,1.0,1.0,1.0,-1.3755,5,-0.8255,-8.4217,8.4217,,,,4158,3,0,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.2351,0.1125,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,intelligent_dstep,dstep_2_voi,3,100,100,log_normal,0,21234
dstep,20,132,457,6336,378.635,31.0,12.4,93.0,21.0,68.4,21.375,46.2,82.26,3.0,1.0,1.0,1.0,1.0,-1.3755,5,-0.8255,-8.4217,8.4217,33.17,12.8375,1.4122,2048,3,0,143,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.6142,0.1125,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,intelligent_dstep,dstep_3_prediction,4,100,100,log_normal,0,21234
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,563,0,0,197,fixed,0.0,0.0,0.0,0.0,0,0,0,-67.5942,0.175,0,0,0,0,0,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,intelligent_dstep,dstep_4_network_adaptive,5,100,100,log_normal,0,21234
dstep,20,41,386,1968,349.86,31.0,12.4,93.0,21.0,80.48,25.15,14.35,69.48,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-3.3568,3.3568,35.3082,20.3947,1.2763,353,31,9,386,channel_aware_adaptive,-17.0,-20.0,-10.0,-9.1071,36,1,35,-77.9061,0.6875,20,20,20,1,0,0.002,12.547214001481091,36.140807661989285,46.2277504604981,10.95,4,19,0,1,1.0,6.709618488114235,0.12047094435627059,31.149122680332923,20.0,0.848125,intelligent_dstep,dstep_full,6,100,100,log_normal,0,21234
periodic,20,600,600,28800,364.4,31.0,12.4,0.0,0.0,0.0,0.0,210.0,108.0,3.0,1.0,1.0,1.0,1.0,-1.4795,4,,-1.4795,1.4795,,,,7852,166,2782,0,fixed,0.0,0.0,0.0,0.0,0,0,0,-82.6488,0.0875,0,0,0,0,0,8e-05,62.73607000740545,190.07715537253296,231.13875230249047,14.8,5,18,0,1,1.0,5.990931308693672,0.04456414751849991,35.771782584940524,20.0,0.095,classical_baseline,periodic,0,500,500,log_normal,0,21234
