algorithm_family,algorithm,intelligence_level,nodes,area_width_m,area_height_m,channel_model,runs,f1_mean,f1_std,dcr_mean,dcr_std,mean_lead_time_s_mean,mean_lead_time_s_std,tx_packets_mean,tx_packets_std,rx_packets_mean,rx_packets_std,energy_mj_mean,energy_mj_std,energy_infer_mj_mean,energy_infer_mj_std,energy_consensus_mj_mean,energy_consensus_mj_std,energy_estimate_mj_mean,energy_estimate_mj_std,energy_prediction_mj_mean,energy_prediction_mj_std,energy_tx_mj_mean,energy_tx_mj_std,energy_rx_mj_mean,energy_rx_mj_std,collisions_mean,collisions_std,channel_losses_mean,channel_losses_std,below_sensitivity_mean,below_sensitivity_std,mean_tx_power_dbm_mean,mean_tx_power_dbm_std,power_changes_mean,power_changes_std,radio_backoff_actions_mean,radio_backoff_actions_std,largest_component_fraction_mean,largest_component_fraction_std,operational_success_rate
classical_baseline,distributed_edge,0,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,1.3755,0.0,356.0,0.0,518.0,0.0,357.24,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6,0.0,93.24,0.0,6244.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
classical_baseline,event_driven,0,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,1.3795,0.0,356.0,0.0,518.0,0.0,264.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.6,0.0,93.24,0.0,6244.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
classical_baseline,periodic,0,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,1.3795,0.0,600.0,0.0,600.0,0.0,364.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,108.0,0.0,10799.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
intelligent_dstep,dstep_0_local,1,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,0.2751,0.0,240.0,0.0,398.0,0.0,295.04,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,71.64,0.0,4162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
intelligent_dstep,dstep_1_consensus,2,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,0.8753,0.0,241.0,0.0,418.0,0.0,319.99,0.0,93.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,84.35,0.0,75.24,0.0,4158.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
intelligent_dstep,dstep_2_voi,3,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,8.4217,0.0,243.0,0.0,456.0,0.0,327.53,0.0,93.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,85.05,0.0,82.08,0.0,4158.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
intelligent_dstep,dstep_3_prediction,4,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,8.4217,0.0,132.0,0.0,457.0,0.0,378.635,0.0,93.0,0.0,21.0,0.0,68.4,0.0,21.375,0.0,46.2,0.0,82.26,0.0,2048.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
intelligent_dstep,dstep_4_network_adaptive,5,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,2.4719,0.0,40.0,0.0,197.0,0.0,295.645,0.0,93.0,0.0,21.0,0.0,65.36,0.0,20.425,0.0,14.0,0.0,35.46,0.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
intelligent_dstep,dstep_full,6,20,100,100,log_normal,1,1.0,0.0,1.0,0.0,3.3568,0.0,41.0,0.0,386.0,0.0,349.86,0.0,93.0,0.0,21.0,0.0,80.48,0.0,25.15,0.0,14.35,0.0,69.48,0.0,353.0,0.0,31.0,0.0,9.0,0.0,-17.0,0.0,36.0,0.0,20.0,0.0,1.0,0.0,1
classical_baseline,distributed_edge,0,20,500,500,log_normal,1,1.0,0.0,1.0,0.0,1.4755,0.0,363.0,0.0,514.0,0.0,358.97,0.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.05,0.0,92.52,0.0,4658.0,0.0,110.0,0.0,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
classical_baseline,event_driven,0,20,500,500,log_normal,1,1.0,0.0,1.0,0.0,1.4795,0.0,363.0,0.0,514.0,0.0,265.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127.05,0.0,92.52,0.0,4658.0,0.0,110.0,0.0,1615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
classical_baseline,periodic,0,20,500,500,log_normal,1,1.0,0.0,1.0,0.0,1.4795,0.0,600.0,0.0,600.0,0.0,364.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,0.0,108.0,0.0,7852.0,0.0,166.0,0.0,2782.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1
