policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,below_sensitivity,suppressed_tx,node_density_per_m2,mean_nearest_neighbor_m,mean_neighbor_distance_m,mean_pair_distance_m,mean_degree,min_degree,max_degree,isolated_nodes,connected_components,largest_component_fraction,mean_nominal_link_margin_db,min_nominal_link_margin_db,max_nominal_link_margin_db,sensing_radius_m,estimated_sensing_coverage_fraction,area_width_m,area_height_m,channel_model,tx_power_dbm,receiver_sensitivity_dbm,nominal_effective_range_m,run,seed,connectivity_ok,quality_ok,operational_ok
dstep,20,37,117,1776,271.585,31.0,12.4,93.0,21.0,58.8,18.375,12.95,21.06,3.0,1.0,0.9,0.9474,1.0,-1.3755,5,1.0828,-0.7228,0.7228,20.7113,4.8151,1.1875,157,24,405,117,0.002,12.547214001481091,24.788422169258194,46.2277504604981,7.5,1,14,0,1,1.0,5.226038846756469,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,log_normal,-10,-85,38.986037025490766,0,21234,1,0,0
dstep,20,40,193,1920,294.505,31.0,12.4,93.0,21.0,65.04,20.325,14.0,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,29.8851,11.5191,1.2952,535,20,12,193,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,0,-85,111.03363181676396,0,21234,1,1,1
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,563,0,0,197,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,100,100,log_normal,10,-85,316.2277660168384,0,21234,1,1,1
dstep,20,40,193,1920,294.505,31.0,12.4,93.0,21.0,65.04,20.325,14.0,34.74,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,29.8851,11.5191,1.2952,535,20,12,193,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,log_normal,-10,-95,111.03363181676396,0,21234,1,1,1
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,563,0,0,197,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,100,100,log_normal,0,-95,316.2277660168384,0,21234,1,1,1
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,563,0,0,197,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,29.698630107863888,19.90736557611838,61.14912268033292,20.0,0.848125,100,100,log_normal,10,-95,900.628020211279,0,21234,1,1,1
dstep,20,31,108,1488,266.71,31.0,12.4,93.0,21.0,57.92,18.1,10.85,19.44,3.0,1.0,0.8,0.8889,0.85,-1.3755,5,3.067,-0.3054,0.3054,37.7762,5.8943,2.2279,93,34,354,108,0.002,12.547214001481091,24.788422169258194,46.2277504604981,7.5,1,14,0,1,1.0,5.226038846756469,0.12047094435627059,31.149122680332923,20.0,0.848125,100,100,rician,-10,-85,38.986037025490766,0,21234,1,0,0
dstep,20,39,190,1872,293.3,31.0,12.4,93.0,21.0,64.8,20.25,13.65,34.2,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,31.0219,10.3389,1.2062,488,30,33,190,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,0,-85,111.03363181676396,0,21234,1,1,1
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,561,1,1,197,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,100,100,rician,10,-85,316.2277660168384,0,21234,1,1,1
dstep,20,39,190,1872,293.3,31.0,12.4,93.0,21.0,64.8,20.25,13.65,34.2,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.3719,2.3719,31.0219,10.3389,1.2062,488,30,33,190,0.002,12.547214001481091,45.87913865328461,46.2277504604981,18.9,18,19,0,1,1.0,9.750435740306989,0.3069402660189553,41.14912268033292,20.0,0.848125,100,100,rician,-10,-95,111.03363181676396,0,21234,1,1,1
dstep,20,40,197,1920,295.645,31.0,12.4,93.0,21.0,65.36,20.425,14.0,35.46,3.0,1.0,1.0,1.0,1.0,-1.3755,5,1.0745,-2.4719,2.4719,31.3141,11.6841,1.1978,561,1,1,197,0.002,12.547214001481091,46.2277504604981,46.2277504604981,19.0,19,19,0,1,1.0,19.69863010786389,9.90736557611838,51.14912268033292,20.0,0.848125,100,100,rician,0,-95,316.2277660168384,0,21234,1,1,1
