nodes,area_width_m,area_height_m,channel_model,receiver_sensitivity_dbm,tx_power_dbm,runs,nominal_effective_range_m_mean,largest_component_fraction_mean,mean_degree_mean,isolated_nodes_mean,mean_nominal_link_margin_db_mean,f1_mean,dcr_mean,energy_mj_mean,tx_packets_mean,collisions_mean,channel_losses_mean,below_sensitivity_mean,mean_lead_time_s_mean,operational_success_rate
20,100,100,log_normal,-95,-10,1,111.03363181676396,1.0,18.9,0.0,9.750435740306989,1.0,1.0,294.505,40.0,535.0,20.0,12.0,2.3719,1
20,100,100,log_normal,-95,0,1,316.2277660168384,1.0,19.0,0.0,19.69863010786389,1.0,1.0,295.645,40.0,563.0,0.0,0.0,2.4719,1
20,100,100,log_normal,-95,10,1,900.628020211279,1.0,19.0,0.0,29.698630107863888,1.0,1.0,295.645,40.0,563.0,0.0,0.0,2.4719,1
20,100,100,log_normal,-85,-10,1,38.986037025490766,1.0,7.5,0.0,5.226038846756469,0.9474,1.0,271.585,37.0,157.0,24.0,405.0,0.7228,0
20,100,100,log_normal,-85,0,1,111.03363181676396,1.0,18.9,0.0,9.750435740306989,1.0,1.0,294.505,40.0,535.0,20.0,12.0,2.3719,1
20,100,100,log_normal,-85,10,1,316.2277660168384,1.0,19.0,0.0,19.69863010786389,1.0,1.0,295.645,40.0,563.0,0.0,0.0,2.4719,1
20,100,100,rician,-95,-10,1,111.03363181676396,1.0,18.9,0.0,9.750435740306989,1.0,1.0,293.3,39.0,488.0,30.0,33.0,2.3719,1
20,100,100,rician,-95,0,1,316.2277660168384,1.0,19.0,0.0,19.69863010786389,1.0,1.0,295.645,40.0,561.0,1.0,1.0,2.4719,1
20,100,100,rician,-95,10,1,900.628020211279,1.0,19.0,0.0,29.698630107863888,1.0,1.0,295.645,40.0,563.0,0.0,0.0,2.4719,1
20,100,100,rician,-85,-10,1,38.986037025490766,1.0,7.5,0.0,5.226038846756469,0.8889,0.85,266.71,31.0,93.0,34.0,354.0,0.3054,0
20,100,100,rician,-85,0,1,111.03363181676396,1.0,18.9,0.0,9.750435740306989,1.0,1.0,293.3,39.0,488.0,30.0,33.0,2.3719,1
20,100,100,rician,-85,10,1,316.2277660168384,1.0,19.0,0.0,19.69863010786389,1.0,1.0,295.645,40.0,561.0,1.0,1.0,2.4719,1
20,500,500,log_normal,-95,-10,1,111.03363181676396,0.8,3.0,1.0,4.244328483977664,0.6667,0.55,251.195,30.0,18.0,23.0,472.0,-2.1051,0
20,500,500,log_normal,-95,0,1,316.2277660168384,1.0,14.8,0.0,5.990931308693672,1.0,1.0,288.92,33.0,267.0,36.0,142.0,2.2217,1
20,500,500,log_normal,-95,10,1,900.628020211279,1.0,19.0,0.0,14.321290012471476,1.0,1.0,298.61,33.0,403.0,8.0,0.0,2.5217,1
20,500,500,log_normal,-85,-10,1,38.98603702549076,0.1,0.2,16.0,8.263763502792742,0.0952,0.0,236.195,33.0,0.0,0.0,623.0,-8.9087,0
20,500,500,log_normal,-85,0,1,111.03363181676396,0.8,3.0,1.0,4.244328483977664,0.6667,0.55,251.195,30.0,18.0,23.0,472.0,-2.1051,0
20,500,500,log_normal,-85,10,1,316.2277660168384,1.0,14.8,0.0,5.990931308693672,1.0,1.0,288.92,33.0,267.0,36.0,142.0,2.2217,1
20,500,500,rician,-95,-10,1,111.03363181676396,0.8,3.0,1.0,4.244328483977664,0.7097,0.6,249.94,31.0,15.0,17.0,506.0,-0.9714,0
20,500,500,rician,-95,0,1,316.2277660168384,1.0,14.8,0.0,5.990931308693672,1.0,1.0,286.29,32.0,219.0,41.0,174.0,2.3217,1
20,500,500,rician,-95,10,1,900.628020211279,1.0,19.0,0.0,14.321290012471476,1.0,1.0,297.12,32.0,383.0,8.0,5.0,2.5217,1
20,500,500,rician,-85,-10,1,38.98603702549076,0.1,0.2,16.0,8.263763502792742,0.0,0.0,235.455,32.0,0.0,0.0,605.0,,0
20,500,500,rician,-85,0,1,111.03363181676396,0.8,3.0,1.0,4.244328483977664,0.7097,0.6,249.94,31.0,15.0,17.0,506.0,-0.9714,0
20,500,500,rician,-85,10,1,316.2277660168384,1.0,14.8,0.0,5.990931308693672,1.0,1.0,286.29,32.0,219.0,41.0,174.0,2.3217,1
