nodes,tx_power_dbm,neighbor_radius_m,max_infer_energy_mj_with_break_even,delta_e_ai_at_frontier_mj,dstep_f1_at_frontier,dstep_dcr_at_frontier
20,-10,25.0,0.05,-30.215000000000003,0.8571,0.75
20,-10,38.0,0.05,-34.78500000000001,0.9189,0.95
20,-10,50.0,0.05,-36.04999999999998,0.9189,0.8
20,0,25.0,0.05,-28.440000000000012,0.7879,0.7
20,0,38.0,0.05,-33.724999999999966,1.0,1.0
20,0,50.0,0.05,-28.720000000000027,1.0,1.0
20,10,25.0,0.05,-33.88499999999999,0.7879,0.7
20,10,38.0,0.05,-32.215,1.0,1.0
20,10,50.0,0.05,-38.19500000000002,1.0,0.95
50,-10,25.0,0.05,-90.83500000000004,0.9691,0.94
50,-10,38.0,0.05,-72.98500000000007,0.9796,0.98
50,-10,50.0,0.05,-52.240000000000066,1.0,1.0
50,0,25.0,0.05,-87.64500000000004,0.9899,0.98
50,0,38.0,0.05,-78.59500000000003,1.0,1.0
50,0,50.0,0.05,-40.70999999999992,1.0,0.96
50,10,25.0,0.05,-91.12,0.9691,0.96
50,10,38.0,0.05,-57.295000000000016,1.0,1.0
50,10,50.0,0.05,-43.25500000000011,1.0,1.0
100,-10,25.0,0.05,-161.62,1.0,1.0
100,-10,38.0,0.05,-113.38499999999999,1.0,1.0
100,-10,50.0,0.05,-68.15499999999997,1.0,1.0
100,0,25.0,0.05,-177.97500000000014,1.0,0.99
100,0,38.0,0.05,-113.48000000000002,1.0,1.0
100,0,50.0,0.05,-66.68500000000006,1.0,1.0
100,10,25.0,0.05,-163.59500000000003,1.0,0.99
100,10,38.0,0.05,-107.2149999999998,1.0,1.0
100,10,50.0,0.05,-43.09500000000003,1.0,1.0
