policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,tx_power_dbm,infer_energy_mj,neighbor_radius_m,run,seed
event_driven,20,341,306,16368,220.83,31.0,12.4,0.0,0.0,0.0,0.0,119.35,55.08,3.0,1.0,1.0,1.0,1.0,-0.5315,3,,-0.5315,0.5315,,,,518,124,0,-10,0.05,25.0,0,21234
dstep,20,35,54,1680,190.615,31.0,12.4,31.0,21.0,53.52,16.725,12.25,9.72,3.0,1.0,0.75,0.8571,0.75,-0.6775,6,1.4833,1.3826,-1.3826,43.0957,8.8557,1.4907,41,18,54,-10,0.05,25.0,0,21234
event_driven,20,343,391,16464,236.83,31.0,12.4,0.0,0.0,0.0,0.0,120.05,70.38,3.0,1.0,1.0,1.0,1.0,-1.1315,8,,-1.1315,1.1315,,,,1474,302,0,-10,0.05,38.0,0,21234
dstep,20,41,86,1968,202.045,31.0,12.4,31.0,21.0,56.24,17.575,14.35,15.48,3.0,1.0,0.85,0.9189,0.95,-1.0275,6,1.0893,-0.2665,0.2665,39.7406,4.8553,1.6197,92,88,86,-10,0.05,38.0,0,21234
event_driven,20,340,423,16320,241.54,31.0,12.4,0.0,0.0,0.0,0.0,119.0,76.14,3.0,1.0,1.0,1.0,1.0,-0.8815,5,,-0.8815,0.8815,,,,2287,464,0,-10,0.05,50.0,0,21234
dstep,20,37,103,1776,205.49,31.0,12.4,31.0,21.0,57.6,18.0,12.95,18.54,3.0,1.0,0.85,0.9189,0.8,-0.5775,4,1.3452,0.1121,-0.1121,34.9025,5.1782,2.0713,147,105,103,-10,0.05,50.0,0,21234
event_driven,20,341,306,16368,220.83,31.0,12.4,0.0,0.0,0.0,0.0,119.35,55.08,3.0,1.0,1.0,1.0,1.0,-0.5315,3,,-0.5315,0.5315,,,,518,124,0,-10,0.15,25.0,0,21234
dstep,20,35,54,1680,252.615,31.0,12.4,93.0,21.0,53.52,16.725,12.25,9.72,3.0,1.0,0.75,0.8571,0.75,-0.6775,6,1.4833,1.3826,-1.3826,43.0957,8.8557,1.4907,41,18,54,-10,0.15,25.0,0,21234
event_driven,20,343,391,16464,236.83,31.0,12.4,0.0,0.0,0.0,0.0,120.05,70.38,3.0,1.0,1.0,1.0,1.0,-1.1315,8,,-1.1315,1.1315,,,,1474,302,0,-10,0.15,38.0,0,21234
dstep,20,41,86,1968,264.045,31.0,12.4,93.0,21.0,56.24,17.575,14.35,15.48,3.0,1.0,0.85,0.9189,0.95,-1.0275,6,1.0893,-0.2665,0.2665,39.7406,4.8553,1.6197,92,88,86,-10,0.15,38.0,0,21234
event_driven,20,340,423,16320,241.54,31.0,12.4,0.0,0.0,0.0,0.0,119.0,76.14,3.0,1.0,1.0,1.0,1.0,-0.8815,5,,-0.8815,0.8815,,,,2287,464,0,-10,0.15,50.0,0,21234
dstep,20,37,103,1776,267.49,31.0,12.4,93.0,21.0,57.6,18.0,12.95,18.54,3.0,1.0,0.85,0.9189,0.8,-0.5775,4,1.3452,0.1121,-0.1121,34.9025,5.1782,2.0713,147,105,103,-10,0.15,50.0,0,21234
event_driven,20,341,306,16368,220.83,31.0,12.4,0.0,0.0,0.0,0.0,119.35,55.08,3.0,1.0,1.0,1.0,1.0,-0.5315,3,,-0.5315,0.5315,,,,518,124,0,-10,0.3,25.0,0,21234
dstep,20,35,54,1680,345.615,31.0,12.4,186.0,21.0,53.52,16.725,12.25,9.72,3.0,1.0,0.75,0.8571,0.75,-0.6775,6,1.4833,1.3826,-1.3826,43.0957,8.8557,1.4907,41,18,54,-10,0.3,25.0,0,21234
event_driven,20,343,391,16464,236.83,31.0,12.4,0.0,0.0,0.0,0.0,120.05,70.38,3.0,1.0,1.0,1.0,1.0,-1.1315,8,,-1.1315,1.1315,,,,1474,302,0,-10,0.3,38.0,0,21234
dstep,20,41,86,1968,357.045,31.0,12.4,186.0,21.0,56.24,17.575,14.35,15.48,3.0,1.0,0.85,0.9189,0.95,-1.0275,6,1.0893,-0.2665,0.2665,39.7406,4.8553,1.6197,92,88,86,-10,0.3,38.0,0,21234
event_driven,20,340,423,16320,241.54,31.0,12.4,0.0,0.0,0.0,0.0,119.0,76.14,3.0,1.0,1.0,1.0,1.0,-0.8815,5,,-0.8815,0.8815,,,,2287,464,0,-10,0.3,50.0,0,21234
dstep,20,37,103,1776,360.49,31.0,12.4,186.0,21.0,57.6,18.0,12.95,18.54,3.0,1.0,0.85,0.9189,0.8,-0.5775,4,1.3452,0.1121,-0.1121,34.9025,5.1782,2.0713,147,105,103,-10,0.3,50.0,0,21234
event_driven,20,334,326,16032,221.98,31.0,12.4,0.0,0.0,0.0,0.0,116.9,58.68,3.0,1.0,1.0,1.0,1.0,-0.6815,5,,-0.6815,0.6815,,,,565,26,0,0,0.05,25.0,0,21234
dstep,20,35,65,1680,193.54,31.0,12.4,31.0,21.0,54.24,16.95,12.25,11.7,3.0,1.0,0.65,0.7879,0.7,-0.4275,4,1.2595,0.8489,-0.8489,45.4621,7.4405,1.1643,48,1,65,0,0.05,25.0,0,21234
event_driven,20,342,424,16416,242.42,31.0,12.4,0.0,0.0,0.0,0.0,119.7,76.32,3.0,1.0,1.0,1.0,1.0,-0.7315,5,,-0.7315,0.7315,,,,1672,55,0,0,0.05,38.0,0,21234
dstep,20,42,107,2016,208.695,31.0,12.4,31.0,21.0,58.16,18.175,14.7,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,0,0.05,38.0,0,21234
event_driven,20,337,465,16176,248.05,31.0,12.4,0.0,0.0,0.0,0.0,117.95,83.7,3.0,1.0,1.0,1.0,1.0,-0.7815,4,,-0.7815,0.7815,,,,2642,82,0,0,0.05,50.0,0,21234
dstep,20,39,148,1872,219.33,31.0,12.4,31.0,21.0,61.44,19.2,13.65,26.64,3.0,1.0,1.0,1.0,1.0,-0.8775,5,0.8225,-0.0259,0.0259,38.2223,6.1612,1.3997,197,26,148,0,0.05,50.0,0,21234
event_driven,20,334,326,16032,221.98,31.0,12.4,0.0,0.0,0.0,0.0,116.9,58.68,3.0,1.0,1.0,1.0,1.0,-0.6815,5,,-0.6815,0.6815,,,,565,26,0,0,0.15,25.0,0,21234
dstep,20,35,65,1680,255.54,31.0,12.4,93.0,21.0,54.24,16.95,12.25,11.7,3.0,1.0,0.65,0.7879,0.7,-0.4275,4,1.2595,0.8489,-0.8489,45.4621,7.4405,1.1643,48,1,65,0,0.15,25.0,0,21234
event_driven,20,342,424,16416,242.42,31.0,12.4,0.0,0.0,0.0,0.0,119.7,76.32,3.0,1.0,1.0,1.0,1.0,-0.7315,5,,-0.7315,0.7315,,,,1672,55,0,0,0.15,38.0,0,21234
dstep,20,42,107,2016,270.695,31.0,12.4,93.0,21.0,58.16,18.175,14.7,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,0,0.15,38.0,0,21234
event_driven,20,337,465,16176,248.05,31.0,12.4,0.0,0.0,0.0,0.0,117.95,83.7,3.0,1.0,1.0,1.0,1.0,-0.7815,4,,-0.7815,0.7815,,,,2642,82,0,0,0.15,50.0,0,21234
dstep,20,39,148,1872,281.33,31.0,12.4,93.0,21.0,61.44,19.2,13.65,26.64,3.0,1.0,1.0,1.0,1.0,-0.8775,5,0.8225,-0.0259,0.0259,38.2223,6.1612,1.3997,197,26,148,0,0.15,50.0,0,21234
event_driven,20,334,326,16032,221.98,31.0,12.4,0.0,0.0,0.0,0.0,116.9,58.68,3.0,1.0,1.0,1.0,1.0,-0.6815,5,,-0.6815,0.6815,,,,565,26,0,0,0.3,25.0,0,21234
dstep,20,35,65,1680,348.54,31.0,12.4,186.0,21.0,54.24,16.95,12.25,11.7,3.0,1.0,0.65,0.7879,0.7,-0.4275,4,1.2595,0.8489,-0.8489,45.4621,7.4405,1.1643,48,1,65,0,0.3,25.0,0,21234
event_driven,20,342,424,16416,242.42,31.0,12.4,0.0,0.0,0.0,0.0,119.7,76.32,3.0,1.0,1.0,1.0,1.0,-0.7315,5,,-0.7315,0.7315,,,,1672,55,0,0,0.3,38.0,0,21234
dstep,20,42,107,2016,363.695,31.0,12.4,186.0,21.0,58.16,18.175,14.7,19.26,3.0,1.0,1.0,1.0,1.0,-0.8275,4,0.7725,0.2237,-0.2237,40.9831,3.8506,1.3778,145,9,107,0,0.3,38.0,0,21234
event_driven,20,337,465,16176,248.05,31.0,12.4,0.0,0.0,0.0,0.0,117.95,83.7,3.0,1.0,1.0,1.0,1.0,-0.7815,4,,-0.7815,0.7815,,,,2642,82,0,0,0.3,50.0,0,21234
dstep,20,39,148,1872,374.33,31.0,12.4,186.0,21.0,61.44,19.2,13.65,26.64,3.0,1.0,1.0,1.0,1.0,-0.8775,5,0.8225,-0.0259,0.0259,38.2223,6.1612,1.3997,197,26,148,0,0.3,50.0,0,21234
event_driven,20,342,334,16416,226.22,31.0,12.4,0.0,0.0,0.0,0.0,119.7,60.12,3.0,1.0,1.0,1.0,1.0,-0.4815,3,,-0.4815,0.4815,,,,611,4,0,10,0.05,25.0,0,21234
dstep,20,34,62,1632,192.335,31.0,12.4,31.0,21.0,54.0,16.875,11.9,11.16,3.0,1.0,0.65,0.7879,0.7,-0.4775,4,1.3364,0.9204,-0.9204,45.7689,7.5912,1.1755,47,0,62,10,0.05,25.0,0,21234
event_driven,20,341,429,16368,242.97,31.0,12.4,0.0,0.0,0.0,0.0,119.35,77.22,3.0,1.0,1.0,1.0,1.0,-0.6815,6,,-0.6815,0.6815,,,,1725,6,0,10,0.05,38.0,0,21234
dstep,20,43,113,2064,210.755,31.0,12.4,31.0,21.0,58.64,18.325,15.05,20.34,3.0,1.0,1.0,1.0,1.0,-1.0775,5,0.8225,0.4734,-0.4734,43.0098,7.0565,1.608,148,3,113,10,0.05,38.0,0,21234
event_driven,20,343,481,16464,253.03,31.0,12.4,0.0,0.0,0.0,0.0,120.05,86.58,3.0,1.0,1.0,1.0,1.0,-0.7315,6,,-0.7315,0.7315,,,,2757,13,0,10,0.05,50.0,0,21234
dstep,20,40,131,1920,214.835,31.0,12.4,31.0,21.0,60.08,18.775,14.0,23.58,3.0,1.0,1.0,1.0,0.95,-0.6775,5,0.8225,-0.0259,0.0259,38.0737,7.7073,1.296,243,3,131,10,0.05,50.0,0,21234
event_driven,20,342,334,16416,226.22,31.0,12.4,0.0,0.0,0.0,0.0,119.7,60.12,3.0,1.0,1.0,1.0,1.0,-0.4815,3,,-0.4815,0.4815,,,,611,4,0,10,0.15,25.0,0,21234
dstep,20,34,62,1632,254.335,31.0,12.4,93.0,21.0,54.0,16.875,11.9,11.16,3.0,1.0,0.65,0.7879,0.7,-0.4775,4,1.3364,0.9204,-0.9204,45.7689,7.5912,1.1755,47,0,62,10,0.15,25.0,0,21234
